Web Search interest: heart king
Worldwide; 2010-2012

Interest over time
Week,heart king
2010-01-03 - 2010-01-09,28
2010-01-10 - 2010-01-16,28
2010-01-17 - 2010-01-23,27
2010-01-24 - 2010-01-30,22
2010-01-31 - 2010-02-06,26
2010-02-07 - 2010-02-13,22
2010-02-14 - 2010-02-20,26
2010-02-21 - 2010-02-27,23
2010-02-28 - 2010-03-06,23
2010-03-07 - 2010-03-13,25
2010-03-14 - 2010-03-20,25
2010-03-21 - 2010-03-27,23
2010-03-28 - 2010-04-03,27
2010-04-04 - 2010-04-10,26
2010-04-11 - 2010-04-17,23
2010-04-18 - 2010-04-24,24
2010-04-25 - 2010-05-01,23
2010-05-02 - 2010-05-08,25
2010-05-09 - 2010-05-15,29
2010-05-16 - 2010-05-22,28
2010-05-23 - 2010-05-29,26
2010-05-30 - 2010-06-05,25
2010-06-06 - 2010-06-12,19
2010-06-13 - 2010-06-19,26
2010-06-20 - 2010-06-26,20
2010-06-27 - 2010-07-03,24
2010-07-04 - 2010-07-10,25
2010-07-11 - 2010-07-17,25
2010-07-18 - 2010-07-24,23
2010-07-25 - 2010-07-31,22
2010-08-01 - 2010-08-07,24
2010-08-08 - 2010-08-14,23
2010-08-15 - 2010-08-21,24
2010-08-22 - 2010-08-28,24
2010-08-29 - 2010-09-04,25
2010-09-05 - 2010-09-11,27
2010-09-12 - 2010-09-18,28
2010-09-19 - 2010-09-25,26
2010-09-26 - 2010-10-02,26
2010-10-03 - 2010-10-09,27
2010-10-10 - 2010-10-16,26
2010-10-17 - 2010-10-23,26
2010-10-24 - 2010-10-30,25
2010-10-31 - 2010-11-06,24
2010-11-07 - 2010-11-13,25
2010-11-14 - 2010-11-20,26
2010-11-21 - 2010-11-27,25
2010-11-28 - 2010-12-04,30
2010-12-05 - 2010-12-11,23
2010-12-12 - 2010-12-18,27
2010-12-19 - 2010-12-25,22
2010-12-26 - 2011-01-01,23
2011-01-02 - 2011-01-08,25
2011-01-09 - 2011-01-15,27
2011-01-16 - 2011-01-22,28
2011-01-23 - 2011-01-29,25
2011-01-30 - 2011-02-05,26
2011-02-06 - 2011-02-12,28
2011-02-13 - 2011-02-19,28
2011-02-20 - 2011-02-26,27
2011-02-27 - 2011-03-05,24
2011-03-06 - 2011-03-12,25
2011-03-13 - 2011-03-19,21
2011-03-20 - 2011-03-26,32
2011-03-27 - 2011-04-02,33
2011-04-03 - 2011-04-09,51
2011-04-10 - 2011-04-16,39
2011-04-17 - 2011-04-23,40
2011-04-24 - 2011-04-30,39
2011-05-01 - 2011-05-07,32
2011-05-08 - 2011-05-14,31
2011-05-15 - 2011-05-21,28
2011-05-22 - 2011-05-28,32
2011-05-29 - 2011-06-04,33
2011-06-05 - 2011-06-11,34
2011-06-12 - 2011-06-18,35
2011-06-19 - 2011-06-25,35
2011-06-26 - 2011-07-02,29
2011-07-03 - 2011-07-09,28
2011-07-10 - 2011-07-16,32
2011-07-17 - 2011-07-23,29
2011-07-24 - 2011-07-30,29
2011-07-31 - 2011-08-06,35
2011-08-07 - 2011-08-13,32
2011-08-14 - 2011-08-20,29
2011-08-21 - 2011-08-27,27
2011-08-28 - 2011-09-03,27
2011-09-04 - 2011-09-10,28
2011-09-11 - 2011-09-17,29
2011-09-18 - 2011-09-24,31
2011-09-25 - 2011-10-01,29
2011-10-02 - 2011-10-08,29
2011-10-09 - 2011-10-15,28
2011-10-16 - 2011-10-22,28
2011-10-23 - 2011-10-29,30
2011-10-30 - 2011-11-05,29
2011-11-06 - 2011-11-12,28
2011-11-13 - 2011-11-19,31
2011-11-20 - 2011-11-26,27
2011-11-27 - 2011-12-03,27
2011-12-04 - 2011-12-10,27
2011-12-11 - 2011-12-17,28
2011-12-18 - 2011-12-24,27
2011-12-25 - 2011-12-31,27
2012-01-01 - 2012-01-07,27
2012-01-08 - 2012-01-14,30
2012-01-15 - 2012-01-21,30
2012-01-22 - 2012-01-28,27
2012-01-29 - 2012-02-04,25
2012-02-05 - 2012-02-11,30
2012-02-12 - 2012-02-18,30
2012-02-19 - 2012-02-25,30
2012-02-26 - 2012-03-03,30
2012-03-04 - 2012-03-10,30
2012-03-11 - 2012-03-17,31
2012-03-18 - 2012-03-24,38
2012-03-25 - 2012-03-31,52
2012-04-01 - 2012-04-07,58
2012-04-08 - 2012-04-14,59
2012-04-15 - 2012-04-21,60
2012-04-22 - 2012-04-28,63
2012-04-29 - 2012-05-05,61
2012-05-06 - 2012-05-12,61
2012-05-13 - 2012-05-19,59
2012-05-20 - 2012-05-26,66
2012-05-27 - 2012-06-02,52
2012-06-03 - 2012-06-09,46
2012-06-10 - 2012-06-16,42
2012-06-17 - 2012-06-23,37
2012-06-24 - 2012-06-30,39
2012-07-01 - 2012-07-07,33
2012-07-08 - 2012-07-14,35
2012-07-15 - 2012-07-21,35
2012-07-22 - 2012-07-28,35
2012-07-29 - 2012-08-04,30
2012-08-05 - 2012-08-11,32
2012-08-12 - 2012-08-18,32
2012-08-19 - 2012-08-25,32
2012-08-26 - 2012-09-01,32
2012-09-02 - 2012-09-08,32
2012-09-09 - 2012-09-15,46
2012-09-16 - 2012-09-22,35
2012-09-23 - 2012-09-29,40
2012-09-30 - 2012-10-06,71
2012-10-07 - 2012-10-13,95
2012-10-14 - 2012-10-20,100
2012-10-21 - 2012-10-27,87
2012-10-28 - 2012-11-03,89
2012-11-04 - 2012-11-10,55
2012-11-11 - 2012-11-17,46
2012-11-18 - 2012-11-24,41
2012-11-25 - 2012-12-01,39
2012-12-02 - 2012-12-08,37
2012-12-09 - 2012-12-15,35
2012-12-16 - 2012-12-22,32
2012-12-23 - 2012-12-29,35
2012-12-30 - 2013-01-05,35


Top regions for heart king
Region,heart king
Indonesia,100
Philippines,32
Malaysia,27
Vietnam,24
United States,11
Australia,10
Canada,10
United Kingdom,8


Top cities for heart king
City,heart king
Depok (Indonesia),100
Surabaya (Indonesia),46
Yogyakarta (Indonesia),46
Semarang (Indonesia),33
Bandung (Indonesia),25
Manila (Philippines),10
