Web Search interest: sleepwalking dog
Worldwide; Apr 2009 - Mar 2012

Interest over time
Month,sleepwalking dog
2009-04,100
2009-05,62
2009-06,44
2009-07,39
2009-08,32
2009-09,32
2009-10,63
2009-11,41
2009-12,52
2010-01,63
2010-02,58
2010-03,27
2010-04,29
2010-05,49
2010-06,29
2010-07,26
2010-08,30
2010-09,29
2010-10,37
2010-11,31
2010-12,34
2011-01,27
2011-02,24
2011-03,27
2011-04,20
2011-05,27
2011-06,22
2011-07,21
2011-08,21
2011-09,23
2011-10,79
2011-11,51
2011-12,40
2012-01,35
2012-02,34
2012-03,30


Top regions for sleepwalking dog
Region,sleepwalking dog
United States,100





Top searches for sleepwalking dog
the sleepwalking dog,100
bizkit sleepwalking dog,75
youtube sleepwalking dog,35



Rising searches for sleepwalking dog
youtube sleepwalking dog,+40%



