Web Search interest: boyfriend
Worldwide; Apr 2008 - Mar 2011

Interest over time
Week,boyfriend
2008-04-06 - 2008-04-12,33
2008-04-13 - 2008-04-19,33
2008-04-20 - 2008-04-26,38
2008-04-27 - 2008-05-03,42
2008-05-04 - 2008-05-10,40
2008-05-11 - 2008-05-17,39
2008-05-18 - 2008-05-24,37
2008-05-25 - 2008-05-31,37
2008-06-01 - 2008-06-07,40
2008-06-08 - 2008-06-14,41
2008-06-15 - 2008-06-21,40
2008-06-22 - 2008-06-28,40
2008-06-29 - 2008-07-05,39
2008-07-06 - 2008-07-12,39
2008-07-13 - 2008-07-19,39
2008-07-20 - 2008-07-26,41
2008-07-27 - 2008-08-02,40
2008-08-03 - 2008-08-09,40
2008-08-10 - 2008-08-16,41
2008-08-17 - 2008-08-23,40
2008-08-24 - 2008-08-30,39
2008-08-31 - 2008-09-06,44
2008-09-07 - 2008-09-13,40
2008-09-14 - 2008-09-20,41
2008-09-21 - 2008-09-27,41
2008-09-28 - 2008-10-04,42
2008-10-05 - 2008-10-11,42
2008-10-12 - 2008-10-18,41
2008-10-19 - 2008-10-25,42
2008-10-26 - 2008-11-01,41
2008-11-02 - 2008-11-08,45
2008-11-09 - 2008-11-15,47
2008-11-16 - 2008-11-22,48
2008-11-23 - 2008-11-29,51
2008-11-30 - 2008-12-06,52
2008-12-07 - 2008-12-13,55
2008-12-14 - 2008-12-20,55
2008-12-21 - 2008-12-27,54
2008-12-28 - 2009-01-03,54
2009-01-04 - 2009-01-10,50
2009-01-11 - 2009-01-17,48
2009-01-18 - 2009-01-24,49
2009-01-25 - 2009-01-31,50
2009-02-01 - 2009-02-07,49
2009-02-08 - 2009-02-14,54
2009-02-15 - 2009-02-21,47
2009-02-22 - 2009-02-28,48
2009-03-01 - 2009-03-07,46
2009-03-08 - 2009-03-14,48
2009-03-15 - 2009-03-21,48
2009-03-22 - 2009-03-28,48
2009-03-29 - 2009-04-04,53
2009-04-05 - 2009-04-11,60
2009-04-12 - 2009-04-18,59
2009-04-19 - 2009-04-25,55
2009-04-26 - 2009-05-02,55
2009-05-03 - 2009-05-09,56
2009-05-10 - 2009-05-16,54
2009-05-17 - 2009-05-23,58
2009-05-24 - 2009-05-30,59
2009-05-31 - 2009-06-06,63
2009-06-07 - 2009-06-13,63
2009-06-14 - 2009-06-20,62
2009-06-21 - 2009-06-27,61
2009-06-28 - 2009-07-04,63
2009-07-05 - 2009-07-11,64
2009-07-12 - 2009-07-18,62
2009-07-19 - 2009-07-25,66
2009-07-26 - 2009-08-01,66
2009-08-02 - 2009-08-08,62
2009-08-09 - 2009-08-15,67
2009-08-16 - 2009-08-22,65
2009-08-23 - 2009-08-29,62
2009-08-30 - 2009-09-05,61
2009-09-06 - 2009-09-12,63
2009-09-13 - 2009-09-19,64
2009-09-20 - 2009-09-26,67
2009-09-27 - 2009-10-03,62
2009-10-04 - 2009-10-10,63
2009-10-11 - 2009-10-17,63
2009-10-18 - 2009-10-24,64
2009-10-25 - 2009-10-31,64
2009-11-01 - 2009-11-07,66
2009-11-08 - 2009-11-14,69
2009-11-15 - 2009-11-21,70
2009-11-22 - 2009-11-28,75
2009-11-29 - 2009-12-05,77
2009-12-06 - 2009-12-12,78
2009-12-13 - 2009-12-19,80
2009-12-20 - 2009-12-26,80
2009-12-27 - 2010-01-02,79
2010-01-03 - 2010-01-09,78
2010-01-10 - 2010-01-16,74
2010-01-17 - 2010-01-23,78
2010-01-24 - 2010-01-30,80
2010-01-31 - 2010-02-06,86
2010-02-07 - 2010-02-13,100
2010-02-14 - 2010-02-20,82
2010-02-21 - 2010-02-27,77
2010-02-28 - 2010-03-06,75
2010-03-07 - 2010-03-13,71
2010-03-14 - 2010-03-20,71
2010-03-21 - 2010-03-27,74
2010-03-28 - 2010-04-03,85
2010-04-04 - 2010-04-10,78
2010-04-11 - 2010-04-17,75
2010-04-18 - 2010-04-24,76
2010-04-25 - 2010-05-01,75
2010-05-02 - 2010-05-08,77
2010-05-09 - 2010-05-15,75
2010-05-16 - 2010-05-22,74
2010-05-23 - 2010-05-29,78
2010-05-30 - 2010-06-05,77
2010-06-06 - 2010-06-12,78
2010-06-13 - 2010-06-19,83
2010-06-20 - 2010-06-26,85
2010-06-27 - 2010-07-03,84
2010-07-04 - 2010-07-10,89
2010-07-11 - 2010-07-17,87
2010-07-18 - 2010-07-24,81
2010-07-25 - 2010-07-31,79
2010-08-01 - 2010-08-07,81
2010-08-08 - 2010-08-14,84
2010-08-15 - 2010-08-21,82
2010-08-22 - 2010-08-28,75
2010-08-29 - 2010-09-04,78
2010-09-05 - 2010-09-11,77
2010-09-12 - 2010-09-18,70
2010-09-19 - 2010-09-25,75
2010-09-26 - 2010-10-02,79
2010-10-03 - 2010-10-09,77
2010-10-10 - 2010-10-16,76
2010-10-17 - 2010-10-23,80
2010-10-24 - 2010-10-30,80
2010-10-31 - 2010-11-06,80
2010-11-07 - 2010-11-13,80
2010-11-14 - 2010-11-20,84
2010-11-21 - 2010-11-27,88
2010-11-28 - 2010-12-04,89
2010-12-05 - 2010-12-11,90
2010-12-12 - 2010-12-18,94
2010-12-19 - 2010-12-25,93
2010-12-26 - 2011-01-01,92
2011-01-02 - 2011-01-08,88
2011-01-09 - 2011-01-15,83
2011-01-16 - 2011-01-22,87
2011-01-23 - 2011-01-29,86
2011-01-30 - 2011-02-05,94
2011-02-06 - 2011-02-12,97
2011-02-13 - 2011-02-19,89
2011-02-20 - 2011-02-26,77
2011-02-27 - 2011-03-05,75
2011-03-06 - 2011-03-12,75
2011-03-13 - 2011-03-19,74
2011-03-20 - 2011-03-26,78
2011-03-27 - 2011-04-02,83


Top regions for boyfriend
Region,boyfriend
Jamaica,100
Philippines,73
Singapore,53
United States,50
South Africa,44
Denmark,44
Canada,41
Ireland,39
Malaysia,34
Australia,33
United Kingdom,33
New Zealand,29
India,25
United Arab Emirates,24
Pakistan,24
Hong Kong,16
Norway,13
Indonesia,10
Sweden,9
Greece,9
South Korea,9
Netherlands,7
Portugal,7
Egypt,6
Mexico,6
Romania,6
Thailand,5
Finland,5
Switzerland,5
Belgium,5
Austria,5
Germany,5
Israel,4
Hungary,4
Chile,3
Spain,3
France,3
Brazil,3
Argentina,3
Poland,3
Italy,2
Japan,2
Turkey,1
China,1


Top cities for boyfriend
City,boyfriend
Makati City (Philippines),100
Waterloo (Canada),82
Irvine (United States),82
Herndon (United States),82
Ashburn (United States),79
New York (United States),78
Philadelphia (United States),76
Los Angeles (United States),75
Reston (United States),75
Miami (United States),74
Orlando (United States),74
Richardson (United States),72
Tampa (United States),70
Dallas (United States),70
St. Louis (United States),70



Top searches for boyfriend
my boyfriend,100
the boyfriend,55
boyfriend lyrics,25
boyfriend quotes,15
boyfriend gifts,15
gifts for boyfriend,10
miley cyrus boyfriend,10
miley cyrus,10
gift for boyfriend,10
cheating boyfriend,5
boyfriend poems,5
love quotes,5
boyfriend jeans,5
my ex boyfriend,5
boyfriend gift ideas,5
love poems,5
absolute boyfriend,5
kristen stewart boyfriend,5
kim kardashian boyfriend,5
cute boyfriend quotes,5
cute quotes,5
boyfriend tv,5
boyfriend number 2,5
boyfriend nicknames,5
emma watson boyfriend,5
anderson cooper boyfriend,0
anderson cooper,0
valentines day ideas,0
boyfriend girlfriend lyrics,0
boyfriend blazer,0
how to kiss,0
rihanna boyfriend,0
taylor swift boyfriend,0
boyfriend birthday ideas,0
pet names,0
lady gaga boyfriend,0
selena gomez boyfriend,0
moms new boyfriend,0
boyfriend shirt,0
jean boyfriend,0
cute love quotes,0
megan fox boyfriend,0
gifts for men,0
tyra banks boyfriend,0
tyra banks,0



Rising searches for boyfriend
kristen stewart boyfriend,Breakout
miley cyrus boyfriend,+650%
boyfriend jeans,+190%
love quotes,+130%
boyfriend quotes,+110%
my ex boyfriend,+40%



