Web Search interest: father dance
Worldwide; Oct 2006 - Sep 2009

Interest over time
Week,father dance
2006-10-01 - 2006-10-07,38
2006-10-08 - 2006-10-14,51
2006-10-15 - 2006-10-21,45
2006-10-22 - 2006-10-28,35
2006-10-29 - 2006-11-04,33
2006-11-05 - 2006-11-11,53
2006-11-12 - 2006-11-18,46
2006-11-19 - 2006-11-25,27
2006-11-26 - 2006-12-02,34
2006-12-03 - 2006-12-09,43
2006-12-10 - 2006-12-16,39
2006-12-17 - 2006-12-23,48
2006-12-24 - 2006-12-30,40
2006-12-31 - 2007-01-06,37
2007-01-07 - 2007-01-13,48
2007-01-14 - 2007-01-20,45
2007-01-21 - 2007-01-27,42
2007-01-28 - 2007-02-03,42
2007-02-04 - 2007-02-10,45
2007-02-11 - 2007-02-17,44
2007-02-18 - 2007-02-24,38
2007-02-25 - 2007-03-03,39
2007-03-04 - 2007-03-10,36
2007-03-11 - 2007-03-17,34
2007-03-18 - 2007-03-24,56
2007-03-25 - 2007-03-31,52
2007-04-01 - 2007-04-07,57
2007-04-08 - 2007-04-14,49
2007-04-15 - 2007-04-21,49
2007-04-22 - 2007-04-28,62
2007-04-29 - 2007-05-05,52
2007-05-06 - 2007-05-12,47
2007-05-13 - 2007-05-19,57
2007-05-20 - 2007-05-26,54
2007-05-27 - 2007-06-02,63
2007-06-03 - 2007-06-09,68
2007-06-10 - 2007-06-16,69
2007-06-17 - 2007-06-23,83
2007-06-24 - 2007-06-30,72
2007-07-01 - 2007-07-07,78
2007-07-08 - 2007-07-14,64
2007-07-15 - 2007-07-21,69
2007-07-22 - 2007-07-28,69
2007-07-29 - 2007-08-04,61
2007-08-05 - 2007-08-11,69
2007-08-12 - 2007-08-18,64
2007-08-19 - 2007-08-25,69
2007-08-26 - 2007-09-01,60
2007-09-02 - 2007-09-08,59
2007-09-09 - 2007-09-15,56
2007-09-16 - 2007-09-22,54
2007-09-23 - 2007-09-29,55
2007-09-30 - 2007-10-06,68
2007-10-07 - 2007-10-13,50
2007-10-14 - 2007-10-20,46
2007-10-21 - 2007-10-27,55
2007-10-28 - 2007-11-03,35
2007-11-04 - 2007-11-10,43
2007-11-11 - 2007-11-17,45
2007-11-18 - 2007-11-24,44
2007-11-25 - 2007-12-01,40
2007-12-02 - 2007-12-08,45
2007-12-09 - 2007-12-15,51
2007-12-16 - 2007-12-22,40
2007-12-23 - 2007-12-29,42
2007-12-30 - 2008-01-05,50
2008-01-06 - 2008-01-12,56
2008-01-13 - 2008-01-19,56
2008-01-20 - 2008-01-26,50
2008-01-27 - 2008-02-02,62
2008-02-03 - 2008-02-09,58
2008-02-10 - 2008-02-16,55
2008-02-17 - 2008-02-23,51
2008-02-24 - 2008-03-01,51
2008-03-02 - 2008-03-08,51
2008-03-09 - 2008-03-15,54
2008-03-16 - 2008-03-22,45
2008-03-23 - 2008-03-29,51
2008-03-30 - 2008-04-05,55
2008-04-06 - 2008-04-12,61
2008-04-13 - 2008-04-19,55
2008-04-20 - 2008-04-26,44
2008-04-27 - 2008-05-03,50
2008-05-04 - 2008-05-10,52
2008-05-11 - 2008-05-17,66
2008-05-18 - 2008-05-24,62
2008-05-25 - 2008-05-31,46
2008-06-01 - 2008-06-07,56
2008-06-08 - 2008-06-14,57
2008-06-15 - 2008-06-21,75
2008-06-22 - 2008-06-28,80
2008-06-29 - 2008-07-05,64
2008-07-06 - 2008-07-12,60
2008-07-13 - 2008-07-19,65
2008-07-20 - 2008-07-26,66
2008-07-27 - 2008-08-02,51
2008-08-03 - 2008-08-09,70
2008-08-10 - 2008-08-16,56
2008-08-17 - 2008-08-23,60
2008-08-24 - 2008-08-30,56
2008-08-31 - 2008-09-06,49
2008-09-07 - 2008-09-13,49
2008-09-14 - 2008-09-20,48
2008-09-21 - 2008-09-27,47
2008-09-28 - 2008-10-04,47
2008-10-05 - 2008-10-11,49
2008-10-12 - 2008-10-18,43
2008-10-19 - 2008-10-25,38
2008-10-26 - 2008-11-01,38
2008-11-02 - 2008-11-08,39
2008-11-09 - 2008-11-15,41
2008-11-16 - 2008-11-22,45
2008-11-23 - 2008-11-29,33
2008-11-30 - 2008-12-06,35
2008-12-07 - 2008-12-13,42
2008-12-14 - 2008-12-20,36
2008-12-21 - 2008-12-27,41
2008-12-28 - 2009-01-03,34
2009-01-04 - 2009-01-10,38
2009-01-11 - 2009-01-17,45
2009-01-18 - 2009-01-24,46
2009-01-25 - 2009-01-31,52
2009-02-01 - 2009-02-07,61
2009-02-08 - 2009-02-14,45
2009-02-15 - 2009-02-21,52
2009-02-22 - 2009-02-28,52
2009-03-01 - 2009-03-07,45
2009-03-08 - 2009-03-14,49
2009-03-15 - 2009-03-21,47
2009-03-22 - 2009-03-28,48
2009-03-29 - 2009-04-04,46
2009-04-05 - 2009-04-11,46
2009-04-12 - 2009-04-18,50
2009-04-19 - 2009-04-25,47
2009-04-26 - 2009-05-02,45
2009-05-03 - 2009-05-09,51
2009-05-10 - 2009-05-16,50
2009-05-17 - 2009-05-23,58
2009-05-24 - 2009-05-30,52
2009-05-31 - 2009-06-06,53
2009-06-07 - 2009-06-13,58
2009-06-14 - 2009-06-20,65
2009-06-21 - 2009-06-27,67
2009-06-28 - 2009-07-04,54
2009-07-05 - 2009-07-11,50
2009-07-12 - 2009-07-18,55
2009-07-19 - 2009-07-25,57
2009-07-26 - 2009-08-01,58
2009-08-02 - 2009-08-08,51
2009-08-09 - 2009-08-15,66
2009-08-16 - 2009-08-22,53
2009-08-23 - 2009-08-29,100
2009-08-30 - 2009-09-05,85
2009-09-06 - 2009-09-12,76
2009-09-13 - 2009-09-19,72
2009-09-20 - 2009-09-26,79
2009-09-27 - 2009-10-03,77


Top regions for father dance
Region,father dance
Philippines,100
United States,10
Canada,8
United Kingdom,7


Top cities for father dance
City,father dance
Makati City (Philippines),100
Atlanta (United States),11
Los Angeles (United States),10
Chicago (United States),10
New York (United States),10
Toronto (Canada),10
London (United Kingdom),5



Top searches for father dance
dance with father,100
father daughter dance,65
father daughter songs,40
wedding songs,20
wedding dance songs,20
luther vandross,15
father daughter song,10
first dance songs,5
luther vandross lyrics,5
mother son dance,5
father daughter dances,0
butterfly kisses,0
through the years,0



Rising searches for father dance
first dance songs,+80%
mother son dance,+40%



