Web Search interest: united breaks guitars
Worldwide; Jul 2009 - Jun 2012

Interest over time
Week,united breaks guitars
2009-07-05 - 2009-07-11,100
2009-07-12 - 2009-07-18,66
2009-07-19 - 2009-07-25,49
2009-07-26 - 2009-08-01,30
2009-08-02 - 2009-08-08,19
2009-08-09 - 2009-08-15,12
2009-08-16 - 2009-08-22,22
2009-08-23 - 2009-08-29,14
2009-08-30 - 2009-09-05,8
2009-09-06 - 2009-09-12,7
2009-09-13 - 2009-09-19,6
2009-09-20 - 2009-09-26,8
2009-09-27 - 2009-10-03,5
2009-10-04 - 2009-10-10,5
2009-10-11 - 2009-10-17,5
2009-10-18 - 2009-10-24,5
2009-10-25 - 2009-10-31,8
2009-11-01 - 2009-11-07,7
2009-11-08 - 2009-11-14,6
2009-11-15 - 2009-11-21,5
2009-11-22 - 2009-11-28,5
2009-11-29 - 2009-12-05,4
2009-12-06 - 2009-12-12,7
2009-12-13 - 2009-12-19,6
2009-12-20 - 2009-12-26,6
2009-12-27 - 2010-01-02,9
2010-01-03 - 2010-01-09,5
2010-01-10 - 2010-01-16,7
2010-01-17 - 2010-01-23,6
2010-01-24 - 2010-01-30,4
2010-01-31 - 2010-02-06,5
2010-02-07 - 2010-02-13,4
2010-02-14 - 2010-02-20,4
2010-02-21 - 2010-02-27,4
2010-02-28 - 2010-03-06,6
2010-03-07 - 2010-03-13,4
2010-03-14 - 2010-03-20,4
2010-03-21 - 2010-03-27,4
2010-03-28 - 2010-04-03,4
2010-04-04 - 2010-04-10,4
2010-04-11 - 2010-04-17,4
2010-04-18 - 2010-04-24,3
2010-04-25 - 2010-05-01,3
2010-05-02 - 2010-05-08,4
2010-05-09 - 2010-05-15,4
2010-05-16 - 2010-05-22,4
2010-05-23 - 2010-05-29,3
2010-05-30 - 2010-06-05,0
2010-06-06 - 2010-06-12,0
2010-06-13 - 2010-06-19,0
2010-06-20 - 2010-06-26,0
2010-06-27 - 2010-07-03,0
2010-07-04 - 2010-07-10,0
2010-07-11 - 2010-07-17,0
2010-07-18 - 2010-07-24,4
2010-07-25 - 2010-07-31,4
2010-08-01 - 2010-08-07,4
2010-08-08 - 2010-08-14,3
2010-08-15 - 2010-08-21,3
2010-08-22 - 2010-08-28,3
2010-08-29 - 2010-09-04,3
2010-09-05 - 2010-09-11,3
2010-09-12 - 2010-09-18,4
2010-09-19 - 2010-09-25,4
2010-09-26 - 2010-10-02,5
2010-10-03 - 2010-10-09,5
2010-10-10 - 2010-10-16,4
2010-10-17 - 2010-10-23,3
2010-10-24 - 2010-10-30,4
2010-10-31 - 2010-11-06,3
2010-11-07 - 2010-11-13,3
2010-11-14 - 2010-11-20,3
2010-11-21 - 2010-11-27,3
2010-11-28 - 2010-12-04,3
2010-12-05 - 2010-12-11,3
2010-12-12 - 2010-12-18,3
2010-12-19 - 2010-12-25,3
2010-12-26 - 2011-01-01,0
2011-01-02 - 2011-01-08,0
2011-01-09 - 2011-01-15,0
2011-01-16 - 2011-01-22,0
2011-01-23 - 2011-01-29,0
2011-01-30 - 2011-02-05,3
2011-02-06 - 2011-02-12,3
2011-02-13 - 2011-02-19,3
2011-02-20 - 2011-02-26,3
2011-02-27 - 2011-03-05,3
2011-03-06 - 2011-03-12,3
2011-03-13 - 2011-03-19,0
2011-03-20 - 2011-03-26,0
2011-03-27 - 2011-04-02,0
