Web Search interest: vote
Worldwide; Mar 2007 - Feb 2010

Interest over time
Week,vote
2007-03-04 - 2007-03-10,7
2007-03-11 - 2007-03-17,8
2007-03-18 - 2007-03-24,12
2007-03-25 - 2007-03-31,14
2007-04-01 - 2007-04-07,11
2007-04-08 - 2007-04-14,10
2007-04-15 - 2007-04-21,15
2007-04-22 - 2007-04-28,16
2007-04-29 - 2007-05-05,10
2007-05-06 - 2007-05-12,10
2007-05-13 - 2007-05-19,7
2007-05-20 - 2007-05-26,7
2007-05-27 - 2007-06-02,4
2007-06-03 - 2007-06-09,6
2007-06-10 - 2007-06-16,6
2007-06-17 - 2007-06-23,6
2007-06-24 - 2007-06-30,7
2007-07-01 - 2007-07-07,10
2007-07-08 - 2007-07-14,4
2007-07-15 - 2007-07-21,3
2007-07-22 - 2007-07-28,3
2007-07-29 - 2007-08-04,3
2007-08-05 - 2007-08-11,4
2007-08-12 - 2007-08-18,3
2007-08-19 - 2007-08-25,3
2007-08-26 - 2007-09-01,3
2007-09-02 - 2007-09-08,3
2007-09-09 - 2007-09-15,4
2007-09-16 - 2007-09-22,6
2007-09-23 - 2007-09-29,5
2007-09-30 - 2007-10-06,5
2007-10-07 - 2007-10-13,7
2007-10-14 - 2007-10-20,6
2007-10-21 - 2007-10-27,5
2007-10-28 - 2007-11-03,5
2007-11-04 - 2007-11-10,9
2007-11-11 - 2007-11-17,5
2007-11-18 - 2007-11-24,8
2007-11-25 - 2007-12-01,6
2007-12-02 - 2007-12-08,6
2007-12-09 - 2007-12-15,5
2007-12-16 - 2007-12-22,5
2007-12-23 - 2007-12-29,3
2007-12-30 - 2008-01-05,8
2008-01-06 - 2008-01-12,14
2008-01-13 - 2008-01-19,9
2008-01-20 - 2008-01-26,9
2008-01-27 - 2008-02-02,14
2008-02-03 - 2008-02-09,28
2008-02-10 - 2008-02-16,11
2008-02-17 - 2008-02-23,10
2008-02-24 - 2008-03-01,9
2008-03-02 - 2008-03-08,15
2008-03-09 - 2008-03-15,10
2008-03-16 - 2008-03-22,7
2008-03-23 - 2008-03-29,6
2008-03-30 - 2008-04-05,6
2008-04-06 - 2008-04-12,7
2008-04-13 - 2008-04-19,6
2008-04-20 - 2008-04-26,8
2008-04-27 - 2008-05-03,8
2008-05-04 - 2008-05-10,8
2008-05-11 - 2008-05-17,7
2008-05-18 - 2008-05-24,8
2008-05-25 - 2008-05-31,5
2008-06-01 - 2008-06-07,8
2008-06-08 - 2008-06-14,6
2008-06-15 - 2008-06-21,5
2008-06-22 - 2008-06-28,4
2008-06-29 - 2008-07-05,4
2008-07-06 - 2008-07-12,6
2008-07-13 - 2008-07-19,5
2008-07-20 - 2008-07-26,7
2008-07-27 - 2008-08-02,6
2008-08-03 - 2008-08-09,6
2008-08-10 - 2008-08-16,5
2008-08-17 - 2008-08-23,6
2008-08-24 - 2008-08-30,11
2008-08-31 - 2008-09-06,12
2008-09-07 - 2008-09-13,14
2008-09-14 - 2008-09-20,14
2008-09-21 - 2008-09-27,18
2008-09-28 - 2008-10-04,41
2008-10-05 - 2008-10-11,34
2008-10-12 - 2008-10-18,27
2008-10-19 - 2008-10-25,29
2008-10-26 - 2008-11-01,39
2008-11-02 - 2008-11-08,100
2008-11-09 - 2008-11-15,10
2008-11-16 - 2008-11-22,7
2008-11-23 - 2008-11-29,5
2008-11-30 - 2008-12-06,6
2008-12-07 - 2008-12-13,6
2008-12-14 - 2008-12-20,4
2008-12-21 - 2008-12-27,3
2008-12-28 - 2009-01-03,3
2009-01-04 - 2009-01-10,4
2009-01-11 - 2009-01-17,4
2009-01-18 - 2009-01-24,6
2009-01-25 - 2009-01-31,5
2009-02-01 - 2009-02-07,5
2009-02-08 - 2009-02-14,6
2009-02-15 - 2009-02-21,5
2009-02-22 - 2009-02-28,5
2009-03-01 - 2009-03-07,5
2009-03-08 - 2009-03-14,5
2009-03-15 - 2009-03-21,5
2009-03-22 - 2009-03-28,5
2009-03-29 - 2009-04-04,5
2009-04-05 - 2009-04-11,5
2009-04-12 - 2009-04-18,5
2009-04-19 - 2009-04-25,6
2009-04-26 - 2009-05-02,6
2009-05-03 - 2009-05-09,6
2009-05-10 - 2009-05-16,8
2009-05-17 - 2009-05-23,7
2009-05-24 - 2009-05-30,5
2009-05-31 - 2009-06-06,6
2009-06-07 - 2009-06-13,5
2009-06-14 - 2009-06-20,4
2009-06-21 - 2009-06-27,5
2009-06-28 - 2009-07-04,4
2009-07-05 - 2009-07-11,4
2009-07-12 - 2009-07-18,3
2009-07-19 - 2009-07-25,3
2009-07-26 - 2009-08-01,3
2009-08-02 - 2009-08-08,4
2009-08-09 - 2009-08-15,3
2009-08-16 - 2009-08-22,3
2009-08-23 - 2009-08-29,3
2009-08-30 - 2009-09-05,3
2009-09-06 - 2009-09-12,4
2009-09-13 - 2009-09-19,5
2009-09-20 - 2009-09-26,4
2009-09-27 - 2009-10-03,5
2009-10-04 - 2009-10-10,4
2009-10-11 - 2009-10-17,4
2009-10-18 - 2009-10-24,4
2009-10-25 - 2009-10-31,5
2009-11-01 - 2009-11-07,9
2009-11-08 - 2009-11-14,6
2009-11-15 - 2009-11-21,5
2009-11-22 - 2009-11-28,5
2009-11-29 - 2009-12-05,5
2009-12-06 - 2009-12-12,5
2009-12-13 - 2009-12-19,4
2009-12-20 - 2009-12-26,4
2009-12-27 - 2010-01-02,3
2010-01-03 - 2010-01-09,3
2010-01-10 - 2010-01-16,4
2010-01-17 - 2010-01-23,6
2010-01-24 - 2010-01-30,4
2010-01-31 - 2010-02-06,4
2010-02-07 - 2010-02-13,4
