Web Search interest: charlotte
Worldwide; Dec 2010 - Nov 2013

Interest over time
Week,charlotte
2010-12-05 - 2010-12-11,86
2010-12-12 - 2010-12-18,88
2010-12-19 - 2010-12-25,84
2010-12-26 - 2011-01-01,96
2011-01-02 - 2011-01-08,90
2011-01-09 - 2011-01-15,95
2011-01-16 - 2011-01-22,89
2011-01-23 - 2011-01-29,97
2011-01-30 - 2011-02-05,91
2011-02-06 - 2011-02-12,88
2011-02-13 - 2011-02-19,86
2011-02-20 - 2011-02-26,86
2011-02-27 - 2011-03-05,89
2011-03-06 - 2011-03-12,85
2011-03-13 - 2011-03-19,82
2011-03-20 - 2011-03-26,87
2011-03-27 - 2011-04-02,84
2011-04-03 - 2011-04-09,84
2011-04-10 - 2011-04-16,87
2011-04-17 - 2011-04-23,88
2011-04-24 - 2011-04-30,84
2011-05-01 - 2011-05-07,82
2011-05-08 - 2011-05-14,82
2011-05-15 - 2011-05-21,86
2011-05-22 - 2011-05-28,85
2011-05-29 - 2011-06-04,85
2011-06-05 - 2011-06-11,82
2011-06-12 - 2011-06-18,83
2011-06-19 - 2011-06-25,83
2011-06-26 - 2011-07-02,86
2011-07-03 - 2011-07-09,89
2011-07-10 - 2011-07-16,90
2011-07-17 - 2011-07-23,89
2011-07-24 - 2011-07-30,86
2011-07-31 - 2011-08-06,90
2011-08-07 - 2011-08-13,93
2011-08-14 - 2011-08-20,92
2011-08-21 - 2011-08-27,92
2011-08-28 - 2011-09-03,87
2011-09-04 - 2011-09-10,86
2011-09-11 - 2011-09-17,84
2011-09-18 - 2011-09-24,86
2011-09-25 - 2011-10-01,80
2011-10-02 - 2011-10-08,82
2011-10-09 - 2011-10-15,83
2011-10-16 - 2011-10-22,80
2011-10-23 - 2011-10-29,79
2011-10-30 - 2011-11-05,79
2011-11-06 - 2011-11-12,83
2011-11-13 - 2011-11-19,82
2011-11-20 - 2011-11-26,75
2011-11-27 - 2011-12-03,87
2011-12-04 - 2011-12-10,83
2011-12-11 - 2011-12-17,83
2011-12-18 - 2011-12-24,83
2011-12-25 - 2011-12-31,92
2012-01-01 - 2012-01-07,87
2012-01-08 - 2012-01-14,85
2012-01-15 - 2012-01-21,88
2012-01-22 - 2012-01-28,86
2012-01-29 - 2012-02-04,83
2012-02-05 - 2012-02-11,86
2012-02-12 - 2012-02-18,84
2012-02-19 - 2012-02-25,89
2012-02-26 - 2012-03-03,88
2012-03-04 - 2012-03-10,86
2012-03-11 - 2012-03-17,83
2012-03-18 - 2012-03-24,83
2012-03-25 - 2012-03-31,85
2012-04-01 - 2012-04-07,86
2012-04-08 - 2012-04-14,83
2012-04-15 - 2012-04-21,85
2012-04-22 - 2012-04-28,87
2012-04-29 - 2012-05-05,87
2012-05-06 - 2012-05-12,92
2012-05-13 - 2012-05-19,87
2012-05-20 - 2012-05-26,87
2012-05-27 - 2012-06-02,83
2012-06-03 - 2012-06-09,84
2012-06-10 - 2012-06-16,83
2012-06-17 - 2012-06-23,86
2012-06-24 - 2012-06-30,91
2012-07-01 - 2012-07-07,91
2012-07-08 - 2012-07-14,95
2012-07-15 - 2012-07-21,97
2012-07-22 - 2012-07-28,94
2012-07-29 - 2012-08-04,92
2012-08-05 - 2012-08-11,94
2012-08-12 - 2012-08-18,95
2012-08-19 - 2012-08-25,96
2012-08-26 - 2012-09-01,95
2012-09-02 - 2012-09-08,100
2012-09-09 - 2012-09-15,88
2012-09-16 - 2012-09-22,88
2012-09-23 - 2012-09-29,87
2012-09-30 - 2012-10-06,86
2012-10-07 - 2012-10-13,91
2012-10-14 - 2012-10-20,85
2012-10-21 - 2012-10-27,87
2012-10-28 - 2012-11-03,89
2012-11-04 - 2012-11-10,83
2012-11-11 - 2012-11-17,84
2012-11-18 - 2012-11-24,80
2012-11-25 - 2012-12-01,85
2012-12-02 - 2012-12-08,86
2012-12-09 - 2012-12-15,84
2012-12-16 - 2012-12-22,87
2012-12-23 - 2012-12-29,92
2012-12-30 - 2013-01-05,94
2013-01-06 - 2013-01-12,85
2013-01-13 - 2013-01-19,88
2013-01-20 - 2013-01-26,88
2013-01-27 - 2013-02-02,87
2013-02-03 - 2013-02-09,87
2013-02-10 - 2013-02-16,89
2013-02-17 - 2013-02-23,86
2013-02-24 - 2013-03-02,90
2013-03-03 - 2013-03-09,89
2013-03-10 - 2013-03-16,85
2013-03-17 - 2013-03-23,87
2013-03-24 - 2013-03-30,95
2013-03-31 - 2013-04-06,87
2013-04-07 - 2013-04-13,85
2013-04-14 - 2013-04-20,84
2013-04-21 - 2013-04-27,85
2013-04-28 - 2013-05-04,86
2013-05-05 - 2013-05-11,86
2013-05-12 - 2013-05-18,85
2013-05-19 - 2013-05-25,87
2013-05-26 - 2013-06-01,86
2013-06-02 - 2013-06-08,86
2013-06-09 - 2013-06-15,81
2013-06-16 - 2013-06-22,85
2013-06-23 - 2013-06-29,85
2013-06-30 - 2013-07-06,94
2013-07-07 - 2013-07-13,89
2013-07-14 - 2013-07-20,92
2013-07-21 - 2013-07-27,92
2013-07-28 - 2013-08-03,92
2013-08-04 - 2013-08-10,96
2013-08-11 - 2013-08-17,89
2013-08-18 - 2013-08-24,93
2013-08-25 - 2013-08-31,91
2013-09-01 - 2013-09-07,86
2013-09-08 - 2013-09-14,90
2013-09-15 - 2013-09-21,89
2013-09-22 - 2013-09-28,83
2013-09-29 - 2013-10-05,81
2013-10-06 - 2013-10-12,88
2013-10-13 - 2013-10-19,88
2013-10-20 - 2013-10-26,82
2013-10-27 - 2013-11-02,83
2013-11-03 - 2013-11-09,84
2013-11-10 - 2013-11-16,87
2013-11-17 - 2013-11-23,84
2013-11-24 - 2013-11-30,84

