Web Search interest: reflejos
Worldwide; Jul 2010 - Jun 2013

Interest over time
Week,reflejos
2010-07-04 - 2010-07-10,55
2010-07-11 - 2010-07-17,52
2010-07-18 - 2010-07-24,50
2010-07-25 - 2010-07-31,52
2010-08-01 - 2010-08-07,53
2010-08-08 - 2010-08-14,60
2010-08-15 - 2010-08-21,57
2010-08-22 - 2010-08-28,67
2010-08-29 - 2010-09-04,67
2010-09-05 - 2010-09-11,69
2010-09-12 - 2010-09-18,71
2010-09-19 - 2010-09-25,70
2010-09-26 - 2010-10-02,69
2010-10-03 - 2010-10-09,88
2010-10-10 - 2010-10-16,92
2010-10-17 - 2010-10-23,79
2010-10-24 - 2010-10-30,81
2010-10-31 - 2010-11-06,77
2010-11-07 - 2010-11-13,76
2010-11-14 - 2010-11-20,68
2010-11-21 - 2010-11-27,76
2010-11-28 - 2010-12-04,69
2010-12-05 - 2010-12-11,69
2010-12-12 - 2010-12-18,58
2010-12-19 - 2010-12-25,46
2010-12-26 - 2011-01-01,50
2011-01-02 - 2011-01-08,42
2011-01-09 - 2011-01-15,55
2011-01-16 - 2011-01-22,59
2011-01-23 - 2011-01-29,71
2011-01-30 - 2011-02-05,63
2011-02-06 - 2011-02-12,68
2011-02-13 - 2011-02-19,69
2011-02-20 - 2011-02-26,66
2011-02-27 - 2011-03-05,66
2011-03-06 - 2011-03-12,71
2011-03-13 - 2011-03-19,68
2011-03-20 - 2011-03-26,72
2011-03-27 - 2011-04-02,76
2011-04-03 - 2011-04-09,75
2011-04-10 - 2011-04-16,76
2011-04-17 - 2011-04-23,62
2011-04-24 - 2011-04-30,74
2011-05-01 - 2011-05-07,71
2011-05-08 - 2011-05-14,67
2011-05-15 - 2011-05-21,68
2011-05-22 - 2011-05-28,70
2011-05-29 - 2011-06-04,72
2011-06-05 - 2011-06-11,70
2011-06-12 - 2011-06-18,57
2011-06-19 - 2011-06-25,64
2011-06-26 - 2011-07-02,60
2011-07-03 - 2011-07-09,56
2011-07-10 - 2011-07-16,59
2011-07-17 - 2011-07-23,53
2011-07-24 - 2011-07-30,54
2011-07-31 - 2011-08-06,76
2011-08-07 - 2011-08-13,73
2011-08-14 - 2011-08-20,65
2011-08-21 - 2011-08-27,66
2011-08-28 - 2011-09-03,72
2011-09-04 - 2011-09-10,81
2011-09-11 - 2011-09-17,74
2011-09-18 - 2011-09-24,67
2011-09-25 - 2011-10-01,76
2011-10-02 - 2011-10-08,77
2011-10-09 - 2011-10-15,83
2011-10-16 - 2011-10-22,84
2011-10-23 - 2011-10-29,77
2011-10-30 - 2011-11-05,72
2011-11-06 - 2011-11-12,70
2011-11-13 - 2011-11-19,74
2011-11-20 - 2011-11-26,79
2011-11-27 - 2011-12-03,66
2011-12-04 - 2011-12-10,70
2011-12-11 - 2011-12-17,67
2011-12-18 - 2011-12-24,52
2011-12-25 - 2011-12-31,49
2012-01-01 - 2012-01-07,46
2012-01-08 - 2012-01-14,55
2012-01-15 - 2012-01-21,58
2012-01-22 - 2012-01-28,66
2012-01-29 - 2012-02-04,65
2012-02-05 - 2012-02-11,62
2012-02-12 - 2012-02-18,68
2012-02-19 - 2012-02-25,66
2012-02-26 - 2012-03-03,65
2012-03-04 - 2012-03-10,68
2012-03-11 - 2012-03-17,65
2012-03-18 - 2012-03-24,76
2012-03-25 - 2012-03-31,67
2012-04-01 - 2012-04-07,76
2012-04-08 - 2012-04-14,88
2012-04-15 - 2012-04-21,72
2012-04-22 - 2012-04-28,80
2012-04-29 - 2012-05-05,67
2012-05-06 - 2012-05-12,68
2012-05-13 - 2012-05-19,68
