Web Search interest: justin bieber lonely girl
Worldwide; Nov 2009 - Oct 2012

Interest over time
Week,justin bieber lonely girl
2009-11-01 - 2009-11-07,55
2009-11-08 - 2009-11-14,57
2009-11-15 - 2009-11-21,69
2009-11-22 - 2009-11-28,77
2009-11-29 - 2009-12-05,61
2009-12-06 - 2009-12-12,58
2009-12-13 - 2009-12-19,62
2009-12-20 - 2009-12-26,68
2009-12-27 - 2010-01-02,82
2010-01-03 - 2010-01-09,67
2010-01-10 - 2010-01-16,65
2010-01-17 - 2010-01-23,65
2010-01-24 - 2010-01-30,61
2010-01-31 - 2010-02-06,60
2010-02-07 - 2010-02-13,60
2010-02-14 - 2010-02-20,62
2010-02-21 - 2010-02-27,67
2010-02-28 - 2010-03-06,71
2010-03-07 - 2010-03-13,76
2010-03-14 - 2010-03-20,80
2010-03-21 - 2010-03-27,88
2010-03-28 - 2010-04-03,95
2010-04-04 - 2010-04-10,100
2010-04-11 - 2010-04-17,97
2010-04-18 - 2010-04-24,92
2010-04-25 - 2010-05-01,98
2010-05-02 - 2010-05-08,95
2010-05-09 - 2010-05-15,98
2010-05-16 - 2010-05-22,94
2010-05-23 - 2010-05-29,89
2010-05-30 - 2010-06-05,79
2010-06-06 - 2010-06-12,76
2010-06-13 - 2010-06-19,76
2010-06-20 - 2010-06-26,75
2010-06-27 - 2010-07-03,62
2010-07-04 - 2010-07-10,68
2010-07-11 - 2010-07-17,59
2010-07-18 - 2010-07-24,51
2010-07-25 - 2010-07-31,52
2010-08-01 - 2010-08-07,61
2010-08-08 - 2010-08-14,63
2010-08-15 - 2010-08-21,50
2010-08-22 - 2010-08-28,48
2010-08-29 - 2010-09-04,48
2010-09-05 - 2010-09-11,46
2010-09-12 - 2010-09-18,39
2010-09-19 - 2010-09-25,39
2010-09-26 - 2010-10-02,38
2010-10-03 - 2010-10-09,37
2010-10-10 - 2010-10-16,42
2010-10-17 - 2010-10-23,34
2010-10-24 - 2010-10-30,32
2010-10-31 - 2010-11-06,31
2010-11-07 - 2010-11-13,31
2010-11-14 - 2010-11-20,32
2010-11-21 - 2010-11-27,36
2010-11-28 - 2010-12-04,31
2010-12-05 - 2010-12-11,31
2010-12-12 - 2010-12-18,33
2010-12-19 - 2010-12-25,32
2010-12-26 - 2011-01-01,35
2011-01-02 - 2011-01-08,28
2011-01-09 - 2011-01-15,25
2011-01-16 - 2011-01-22,25
2011-01-23 - 2011-01-29,26
2011-01-30 - 2011-02-05,26
2011-02-06 - 2011-02-12,28
2011-02-13 - 2011-02-19,36
2011-02-20 - 2011-02-26,35
2011-02-27 - 2011-03-05,35
2011-03-06 - 2011-03-12,31
2011-03-13 - 2011-03-19,31
2011-03-20 - 2011-03-26,29
2011-03-27 - 2011-04-02,32
2011-04-03 - 2011-04-09,28
2011-04-10 - 2011-04-16,29
2011-04-17 - 2011-04-23,36
2011-04-24 - 2011-04-30,43
2011-05-01 - 2011-05-07,34
2011-05-08 - 2011-05-14,34
2011-05-15 - 2011-05-21,33
2011-05-22 - 2011-05-28,29
2011-05-29 - 2011-06-04,28
2011-06-05 - 2011-06-11,25
2011-06-12 - 2011-06-18,28
2011-06-19 - 2011-06-25,24
2011-06-26 - 2011-07-02,23
2011-07-03 - 2011-07-09,25
2011-07-10 - 2011-07-16,23
2011-07-17 - 2011-07-23,19
2011-07-24 - 2011-07-30,20
2011-07-31 - 2011-08-06,20
2011-08-07 - 2011-08-13,21
2011-08-14 - 2011-08-20,21
2011-08-21 - 2011-08-27,19
2011-08-28 - 2011-09-03,18
2011-09-04 - 2011-09-10,14
2011-09-11 - 2011-09-17,16
2011-09-18 - 2011-09-24,16
2011-09-25 - 2011-10-01,17
2011-10-02 - 2011-10-08,21
2011-10-09 - 2011-10-15,27
2011-10-16 - 2011-10-22,23
2011-10-23 - 2011-10-29,18
2011-10-30 - 2011-11-05,16
2011-11-06 - 2011-11-12,15
2011-11-13 - 2011-11-19,14
2011-11-20 - 2011-11-26,13
2011-11-27 - 2011-12-03,13
2011-12-04 - 2011-12-10,12
2011-12-11 - 2011-12-17,11
2011-12-18 - 2011-12-24,12
2011-12-25 - 2011-12-31,16
2012-01-01 - 2012-01-07,11
2012-01-08 - 2012-01-14,10
2012-01-15 - 2012-01-21,11
2012-01-22 - 2012-01-28,9
2012-01-29 - 2012-02-04,10
2012-02-05 - 2012-02-11,11
2012-02-12 - 2012-02-18,11
2012-02-19 - 2012-02-25,8
2012-02-26 - 2012-03-03,10
2012-03-04 - 2012-03-10,8
2012-03-11 - 2012-03-17,9
2012-03-18 - 2012-03-24,9
2012-03-25 - 2012-03-31,10
