Web Search interest: marijuana card
Worldwide; Sep 2011 - Aug 2014

Interest over time
Week,marijuana card
2011-09-04 - 2011-09-10,86
2011-09-11 - 2011-09-17,72
2011-09-18 - 2011-09-24,74
2011-09-25 - 2011-10-01,81
2011-10-02 - 2011-10-08,78
2011-10-09 - 2011-10-15,74
2011-10-16 - 2011-10-22,62
2011-10-23 - 2011-10-29,63
2011-10-30 - 2011-11-05,63
2011-11-06 - 2011-11-12,55
2011-11-13 - 2011-11-19,59
2011-11-20 - 2011-11-26,48
2011-11-27 - 2011-12-03,64
2011-12-04 - 2011-12-10,65
2011-12-11 - 2011-12-17,77
2011-12-18 - 2011-12-24,68
2011-12-25 - 2011-12-31,61
2012-01-01 - 2012-01-07,67
2012-01-08 - 2012-01-14,73
2012-01-15 - 2012-01-21,69
2012-01-22 - 2012-01-28,72
2012-01-29 - 2012-02-04,66
2012-02-05 - 2012-02-11,76
2012-02-12 - 2012-02-18,72
2012-02-19 - 2012-02-25,77
2012-02-26 - 2012-03-03,89
2012-03-04 - 2012-03-10,82
2012-03-11 - 2012-03-17,82
2012-03-18 - 2012-03-24,82
2012-03-25 - 2012-03-31,72
2012-04-01 - 2012-04-07,74
2012-04-08 - 2012-04-14,75
2012-04-15 - 2012-04-21,85
2012-04-22 - 2012-04-28,76
2012-04-29 - 2012-05-05,78
2012-05-06 - 2012-05-12,70
2012-05-13 - 2012-05-19,69
2012-05-20 - 2012-05-26,65
2012-05-27 - 2012-06-02,65
2012-06-03 - 2012-06-09,78
2012-06-10 - 2012-06-16,71
2012-06-17 - 2012-06-23,73
2012-06-24 - 2012-06-30,76
2012-07-01 - 2012-07-07,68
2012-07-08 - 2012-07-14,74
2012-07-15 - 2012-07-21,81
2012-07-22 - 2012-07-28,83
2012-07-29 - 2012-08-04,77
2012-08-05 - 2012-08-11,77
2012-08-12 - 2012-08-18,80
2012-08-19 - 2012-08-25,77
2012-08-26 - 2012-09-01,75
2012-09-02 - 2012-09-08,68
2012-09-09 - 2012-09-15,83
2012-09-16 - 2012-09-22,78
2012-09-23 - 2012-09-29,68
2012-09-30 - 2012-10-06,68
2012-10-07 - 2012-10-13,67
2012-10-14 - 2012-10-20,76
2012-10-21 - 2012-10-27,83
2012-10-28 - 2012-11-03,80
2012-11-04 - 2012-11-10,97
2012-11-11 - 2012-11-17,76
2012-11-18 - 2012-11-24,56
2012-11-25 - 2012-12-01,65
2012-12-02 - 2012-12-08,75
2012-12-09 - 2012-12-15,71
2012-12-16 - 2012-12-22,63
2012-12-23 - 2012-12-29,58
2012-12-30 - 2013-01-05,79
2013-01-06 - 2013-01-12,71
2013-01-13 - 2013-01-19,75
2013-01-20 - 2013-01-26,71
2013-01-27 - 2013-02-02,67
2013-02-03 - 2013-02-09,76
2013-02-10 - 2013-02-16,61
2013-02-17 - 2013-02-23,69
2013-02-24 - 2013-03-02,74
2013-03-03 - 2013-03-09,77
2013-03-10 - 2013-03-16,69
2013-03-17 - 2013-03-23,65
2013-03-24 - 2013-03-30,71
2013-03-31 - 2013-04-06,72
2013-04-07 - 2013-04-13,75
2013-04-14 - 2013-04-20,83
2013-04-21 - 2013-04-27,77
2013-04-28 - 2013-05-04,81
2013-05-05 - 2013-05-11,68
2013-05-12 - 2013-05-18,73
2013-05-19 - 2013-05-25,66
2013-05-26 - 2013-06-01,73
2013-06-02 - 2013-06-08,75
2013-06-09 - 2013-06-15,79
2013-06-16 - 2013-06-22,68
2013-06-23 - 2013-06-29,85
2013-06-30 - 2013-07-06,73
2013-07-07 - 2013-07-13,75
2013-07-14 - 2013-07-20,87
2013-07-21 - 2013-07-27,91
2013-07-28 - 2013-08-03,90
2013-08-04 - 2013-08-10,90
2013-08-11 - 2013-08-17,93
2013-08-18 - 2013-08-24,88
2013-08-25 - 2013-08-31,94
2013-09-01 - 2013-09-07,83
2013-09-08 - 2013-09-14,76
2013-09-15 - 2013-09-21,75
2013-09-22 - 2013-09-28,85
2013-09-29 - 2013-10-05,76
2013-10-06 - 2013-10-12,82
2013-10-13 - 2013-10-19,78
2013-10-20 - 2013-10-26,72
2013-10-27 - 2013-11-02,69
2013-11-03 - 2013-11-09,72
2013-11-10 - 2013-11-16,71
2013-11-17 - 2013-11-23,71
2013-11-24 - 2013-11-30,64
2013-12-01 - 2013-12-07,67
2013-12-08 - 2013-12-14,70
2013-12-15 - 2013-12-21,78
2013-12-22 - 2013-12-28,66
2013-12-29 - 2014-01-04,100
2014-01-05 - 2014-01-11,94
2014-01-12 - 2014-01-18,88
2014-01-19 - 2014-01-25,99
2014-01-26 - 2014-02-01,94
2014-02-02 - 2014-02-08,83
2014-02-09 - 2014-02-15,82
2014-02-16 - 2014-02-22,78
2014-02-23 - 2014-03-01,86
2014-03-02 - 2014-03-08,96
2014-03-09 - 2014-03-15,82
2014-03-16 - 2014-03-22,83
2014-03-23 - 2014-03-29,88
2014-03-30 - 2014-04-05,88
2014-04-06 - 2014-04-12,91
2014-04-13 - 2014-04-19,89
2014-04-20 - 2014-04-26,85
2014-04-27 - 2014-05-03,81
2014-05-04 - 2014-05-10,74
2014-05-11 - 2014-05-17,75
2014-05-18 - 2014-05-24,82
2014-05-25 - 2014-05-31,70
2014-06-01 - 2014-06-07,76
2014-06-08 - 2014-06-14,77
2014-06-15 - 2014-06-21,80
2014-06-22 - 2014-06-28,70
2014-06-29 - 2014-07-05,71
2014-07-06 - 2014-07-12,86
