Web Search interest: chimpanzee riding segway
Worldwide; Mar 2010 - Feb 2013

Interest over time
Month,chimpanzee riding segway
2010-03,34
2010-04,47
2010-05,49
2010-06,46
2010-07,43
2010-08,41
2010-09,50
2010-10,45
2010-11,57
2010-12,54
2011-01,38
2011-02,45
2011-03,33
2011-04,35
2011-05,26
2011-06,31
2011-07,31
2011-08,32
2011-09,36
2011-10,22
2011-11,20
2011-12,23
2012-01,18
2012-02,21
2012-03,30
2012-04,26
2012-05,31
2012-06,24
2012-07,20
2012-08,17
2012-09,18
2012-10,19
2012-11,18
2012-12,100
2013-01,45
2013-02,41









