Web Search interest: charlie unicorn
Worldwide; May 2006 - Apr 2009

Interest over time
Week,charlie unicorn
2006-05-07 - 2006-05-13,14
2006-05-14 - 2006-05-20,14
2006-05-21 - 2006-05-27,21
2006-05-28 - 2006-06-03,19
2006-06-04 - 2006-06-10,21
2006-06-11 - 2006-06-17,20
2006-06-18 - 2006-06-24,19
2006-06-25 - 2006-07-01,24
2006-07-02 - 2006-07-08,23
2006-07-09 - 2006-07-15,24
2006-07-16 - 2006-07-22,18
2006-07-23 - 2006-07-29,23
2006-07-30 - 2006-08-05,25
2006-08-06 - 2006-08-12,25
2006-08-13 - 2006-08-19,28
2006-08-20 - 2006-08-26,29
2006-08-27 - 2006-09-02,26
2006-09-03 - 2006-09-09,27
2006-09-10 - 2006-09-16,33
2006-09-17 - 2006-09-23,35
2006-09-24 - 2006-09-30,35
2006-10-01 - 2006-10-07,38
2006-10-08 - 2006-10-14,45
2006-10-15 - 2006-10-21,50
2006-10-22 - 2006-10-28,50
2006-10-29 - 2006-11-04,50
2006-11-05 - 2006-11-11,60
2006-11-12 - 2006-11-18,70
2006-11-19 - 2006-11-25,71
2006-11-26 - 2006-12-02,66
2006-12-03 - 2006-12-09,73
2006-12-10 - 2006-12-16,90
2006-12-17 - 2006-12-23,93
2006-12-24 - 2006-12-30,80
2006-12-31 - 2007-01-06,82
2007-01-07 - 2007-01-13,83
2007-01-14 - 2007-01-20,92
2007-01-21 - 2007-01-27,95
2007-01-28 - 2007-02-03,97
2007-02-04 - 2007-02-10,93
2007-02-11 - 2007-02-17,94
2007-02-18 - 2007-02-24,96
2007-02-25 - 2007-03-03,97
2007-03-04 - 2007-03-10,92
2007-03-11 - 2007-03-17,95
2007-03-18 - 2007-03-24,100
2007-03-25 - 2007-03-31,90
2007-04-01 - 2007-04-07,84
2007-04-08 - 2007-04-14,84
2007-04-15 - 2007-04-21,69
2007-04-22 - 2007-04-28,80
2007-04-29 - 2007-05-05,74
2007-05-06 - 2007-05-12,75
2007-05-13 - 2007-05-19,72
2007-05-20 - 2007-05-26,79
2007-05-27 - 2007-06-02,77
2007-06-03 - 2007-06-09,66
2007-06-10 - 2007-06-16,58
2007-06-17 - 2007-06-23,58
2007-06-24 - 2007-06-30,49
2007-07-01 - 2007-07-07,44
2007-07-08 - 2007-07-14,44
2007-07-15 - 2007-07-21,49
2007-07-22 - 2007-07-28,43
2007-07-29 - 2007-08-04,40
2007-08-05 - 2007-08-11,37
2007-08-12 - 2007-08-18,35
2007-08-19 - 2007-08-25,34
2007-08-26 - 2007-09-01,33
2007-09-02 - 2007-09-08,32
2007-09-09 - 2007-09-15,36
2007-09-16 - 2007-09-22,40
2007-09-23 - 2007-09-29,35
2007-09-30 - 2007-10-06,36
2007-10-07 - 2007-10-13,34
2007-10-14 - 2007-10-20,31
2007-10-21 - 2007-10-27,34
2007-10-28 - 2007-11-03,32
2007-11-04 - 2007-11-10,31
2007-11-11 - 2007-11-17,28
2007-11-18 - 2007-11-24,38
2007-11-25 - 2007-12-01,31
2007-12-02 - 2007-12-08,32
2007-12-09 - 2007-12-15,29
2007-12-16 - 2007-12-22,27
2007-12-23 - 2007-12-29,32
2007-12-30 - 2008-01-05,27
2008-01-06 - 2008-01-12,26
2008-01-13 - 2008-01-19,25
2008-01-20 - 2008-01-26,25
2008-01-27 - 2008-02-02,23
2008-02-03 - 2008-02-09,22
2008-02-10 - 2008-02-16,25
2008-02-17 - 2008-02-23,21
2008-02-24 - 2008-03-01,20
2008-03-02 - 2008-03-08,22
2008-03-09 - 2008-03-15,19
2008-03-16 - 2008-03-22,18
2008-03-23 - 2008-03-29,19
2008-03-30 - 2008-04-05,19
2008-04-06 - 2008-04-12,21
2008-04-13 - 2008-04-19,47
2008-04-20 - 2008-04-26,62
2008-04-27 - 2008-05-03,70
