Web Search interest: nyan cat original
Worldwide; Apr 2011 - Mar 2014

Interest over time
Month,nyan cat original
2011-04,21
2011-05,34
2011-06,100
2011-07,59
2011-08,42
2011-09,37
2011-10,39
2011-11,41
2011-12,38
2012-01,26
2012-02,30
2012-03,26
2012-04,27
2012-05,20
2012-06,26
2012-07,20
2012-08,19
2012-09,18
2012-10,12
2012-11,16
2012-12,17
2013-01,16
2013-02,16
2013-03,14
2013-04,14
2013-05,13
2013-06,17
2013-07,14
2013-08,13
2013-09,13
2013-10,10
2013-11,14
2013-12,14
2014-01,14
2014-02,14
2014-03,12









