Web Search interest: truck crash
Worldwide; Jun 2006 - May 2009

Interest over time
Week,truck crash
2006-06-04 - 2006-06-10,0
2006-06-11 - 2006-06-17,0
2006-06-18 - 2006-06-24,0
2006-06-25 - 2006-07-01,0
2006-07-02 - 2006-07-08,0
2006-07-09 - 2006-07-15,0
2006-07-16 - 2006-07-22,0
2006-07-23 - 2006-07-29,0
2006-07-30 - 2006-08-05,0
2006-08-06 - 2006-08-12,0
2006-08-13 - 2006-08-19,0
2006-08-20 - 2006-08-26,32
2006-08-27 - 2006-09-02,30
2006-09-03 - 2006-09-09,30
2006-09-10 - 2006-09-16,30
2006-09-17 - 2006-09-23,30
2006-09-24 - 2006-09-30,30
2006-10-01 - 2006-10-07,31
2006-10-08 - 2006-10-14,32
2006-10-15 - 2006-10-21,32
2006-10-22 - 2006-10-28,33
2006-10-29 - 2006-11-04,27
2006-11-05 - 2006-11-11,27
2006-11-12 - 2006-11-18,27
2006-11-19 - 2006-11-25,27
2006-11-26 - 2006-12-02,28
2006-12-03 - 2006-12-09,31
2006-12-10 - 2006-12-16,33
2006-12-17 - 2006-12-23,0
2006-12-24 - 2006-12-30,0
2006-12-31 - 2007-01-06,0
2007-01-07 - 2007-01-13,0
2007-01-14 - 2007-01-20,0
2007-01-21 - 2007-01-27,0
2007-01-28 - 2007-02-03,0
2007-02-04 - 2007-02-10,26
2007-02-11 - 2007-02-17,56
2007-02-18 - 2007-02-24,25
2007-02-25 - 2007-03-03,25
2007-03-04 - 2007-03-10,25
2007-03-11 - 2007-03-17,25
2007-03-18 - 2007-03-24,27
2007-03-25 - 2007-03-31,27
2007-04-01 - 2007-04-07,28
2007-04-08 - 2007-04-14,28
2007-04-15 - 2007-04-21,22
2007-04-22 - 2007-04-28,24
2007-04-29 - 2007-05-05,37
2007-05-06 - 2007-05-12,23
2007-05-13 - 2007-05-19,28
2007-05-20 - 2007-05-26,24
2007-05-27 - 2007-06-02,23
2007-06-03 - 2007-06-09,27
2007-06-10 - 2007-06-16,22
2007-06-17 - 2007-06-23,31
2007-06-24 - 2007-06-30,25
2007-07-01 - 2007-07-07,21
2007-07-08 - 2007-07-14,25
2007-07-15 - 2007-07-21,23
2007-07-22 - 2007-07-28,38
2007-07-29 - 2007-08-04,32
2007-08-05 - 2007-08-11,32
2007-08-12 - 2007-08-18,25
2007-08-19 - 2007-08-25,23
2007-08-26 - 2007-09-01,23
2007-09-02 - 2007-09-08,31
2007-09-09 - 2007-09-15,23
2007-09-16 - 2007-09-22,23
2007-09-23 - 2007-09-29,32
2007-09-30 - 2007-10-06,28
2007-10-07 - 2007-10-13,29
2007-10-14 - 2007-10-20,48
2007-10-21 - 2007-10-27,22
2007-10-28 - 2007-11-03,25
2007-11-04 - 2007-11-10,18
2007-11-11 - 2007-11-17,24
2007-11-18 - 2007-11-24,19
2007-11-25 - 2007-12-01,19
2007-12-02 - 2007-12-08,21
2007-12-09 - 2007-12-15,30
2007-12-16 - 2007-12-22,28
2007-12-23 - 2007-12-29,22
2007-12-30 - 2008-01-05,21
2008-01-06 - 2008-01-12,25
2008-01-13 - 2008-01-19,21
2008-01-20 - 2008-01-26,26
2008-01-27 - 2008-02-02,27
2008-02-03 - 2008-02-09,21
2008-02-10 - 2008-02-16,28
2008-02-17 - 2008-02-23,21
2008-02-24 - 2008-03-01,24
2008-03-02 - 2008-03-08,23
2008-03-09 - 2008-03-15,24
2008-03-16 - 2008-03-22,24
2008-03-23 - 2008-03-29,20
2008-03-30 - 2008-04-05,100
2008-04-06 - 2008-04-12,32
2008-04-13 - 2008-04-19,26
2008-04-20 - 2008-04-26,21
2008-04-27 - 2008-05-03,29
2008-05-04 - 2008-05-10,28
2008-05-11 - 2008-05-17,31
2008-05-18 - 2008-05-24,26
2008-05-25 - 2008-05-31,24
2008-06-01 - 2008-06-07,22
2008-06-08 - 2008-06-14,22
2008-06-15 - 2008-06-21,19
2008-06-22 - 2008-06-28,18
2008-06-29 - 2008-07-05,26
2008-07-06 - 2008-07-12,22
2008-07-13 - 2008-07-19,31
2008-07-20 - 2008-07-26,25
2008-07-27 - 2008-08-02,26
2008-08-03 - 2008-08-09,22
2008-08-10 - 2008-08-16,55
2008-08-17 - 2008-08-23,30
2008-08-24 - 2008-08-30,23
2008-08-31 - 2008-09-06,21
2008-09-07 - 2008-09-13,24
2008-09-14 - 2008-09-20,30
2008-09-21 - 2008-09-27,25
2008-09-28 - 2008-10-04,24
2008-10-05 - 2008-10-11,23
2008-10-12 - 2008-10-18,20
2008-10-19 - 2008-10-25,45
2008-10-26 - 2008-11-01,22
2008-11-02 - 2008-11-08,26
2008-11-09 - 2008-11-15,17
2008-11-16 - 2008-11-22,28
2008-11-23 - 2008-11-29,23
2008-11-30 - 2008-12-06,21
2008-12-07 - 2008-12-13,22
2008-12-14 - 2008-12-20,26
2008-12-21 - 2008-12-27,22
2008-12-28 - 2009-01-03,20
2009-01-04 - 2009-01-10,20
2009-01-11 - 2009-01-17,27
2009-01-18 - 2009-01-24,23
2009-01-25 - 2009-01-31,29
2009-02-01 - 2009-02-07,18
2009-02-08 - 2009-02-14,20
2009-02-15 - 2009-02-21,23
2009-02-22 - 2009-02-28,24
2009-03-01 - 2009-03-07,41
2009-03-08 - 2009-03-14,21
2009-03-15 - 2009-03-21,25
2009-03-22 - 2009-03-28,22
2009-03-29 - 2009-04-04,34
2009-04-05 - 2009-04-11,23
2009-04-12 - 2009-04-18,21
2009-04-19 - 2009-04-25,30
2009-04-26 - 2009-05-02,27
2009-05-03 - 2009-05-09,20
2009-05-10 - 2009-05-16,22
2009-05-17 - 2009-05-23,22
2009-05-24 - 2009-05-30,19
2009-05-31 - 2009-06-06,26


Top regions for truck crash
Region,truck crash
United States,100





Top searches for truck crash
fire truck crash,100
monster truck crash,85
truck crash video,75
truck crashes,55
truck crash test,45
truck crash videos,40



Rising searches for truck crash
monster truck crash,+80%



