Web Search interest: potter puppet pals mysterious ticking noise
Worldwide; Mar 2007 - Feb 2010

Interest over time
Month,potter puppet pals mysterious ticking noise
2007-03,0
2007-04,0
2007-05,48
2007-06,54
2007-07,100
2007-08,86
2007-09,69
2007-10,65
2007-11,58
2007-12,52
2008-01,37
2008-02,38
2008-03,30
2008-04,33
2008-05,36
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,24
2009-02,20
2009-03,20
2009-04,20
2009-05,20
2009-06,20
2009-07,32
2009-08,27
2009-09,22
2009-10,22
2009-11,28
2009-12,36
2010-01,33
2010-02,34









