Web Search interest: cat mom hugs baby kitten
Worldwide; May 2011 - Apr 2014

Interest over time
Month,cat mom hugs baby kitten
2011-05,77
2011-06,100
2011-07,21
2011-08,15
2011-09,13
2011-10,13
2011-11,20
2011-12,28
2012-01,13
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0









