Web Search interest: beats
Worldwide; Jul 2011 - Jun 2014

Interest over time
Week,beats
2011-07-03 - 2011-07-09,39
2011-07-10 - 2011-07-16,41
2011-07-17 - 2011-07-23,43
2011-07-24 - 2011-07-30,45
2011-07-31 - 2011-08-06,43
2011-08-07 - 2011-08-13,47
2011-08-14 - 2011-08-20,46
2011-08-21 - 2011-08-27,44
2011-08-28 - 2011-09-03,48
2011-09-04 - 2011-09-10,47
2011-09-11 - 2011-09-17,47
2011-09-18 - 2011-09-24,47
2011-09-25 - 2011-10-01,47
2011-10-02 - 2011-10-08,49
2011-10-09 - 2011-10-15,51
2011-10-16 - 2011-10-22,52
2011-10-23 - 2011-10-29,50
2011-10-30 - 2011-11-05,69
2011-11-06 - 2011-11-12,63
2011-11-13 - 2011-11-19,65
2011-11-20 - 2011-11-26,78
2011-11-27 - 2011-12-03,79
2011-12-04 - 2011-12-10,82
2011-12-11 - 2011-12-17,81
2011-12-18 - 2011-12-24,82
2011-12-25 - 2011-12-31,89
2012-01-01 - 2012-01-07,67
2012-01-08 - 2012-01-14,68
2012-01-15 - 2012-01-21,66
2012-01-22 - 2012-01-28,65
2012-01-29 - 2012-02-04,67
2012-02-05 - 2012-02-11,63
2012-02-12 - 2012-02-18,61
2012-02-19 - 2012-02-25,61
2012-02-26 - 2012-03-03,63
2012-03-04 - 2012-03-10,62
2012-03-11 - 2012-03-17,60
2012-03-18 - 2012-03-24,59
2012-03-25 - 2012-03-31,58
2012-04-01 - 2012-04-07,60
2012-04-08 - 2012-04-14,59
2012-04-15 - 2012-04-21,57
2012-04-22 - 2012-04-28,58
2012-04-29 - 2012-05-05,58
2012-05-06 - 2012-05-12,63
2012-05-13 - 2012-05-19,58
2012-05-20 - 2012-05-26,55
2012-05-27 - 2012-06-02,55
2012-06-03 - 2012-06-09,57
2012-06-10 - 2012-06-16,61
2012-06-17 - 2012-06-23,61
2012-06-24 - 2012-06-30,61
2012-07-01 - 2012-07-07,58
2012-07-08 - 2012-07-14,61
2012-07-15 - 2012-07-21,60
2012-07-22 - 2012-07-28,63
2012-07-29 - 2012-08-04,68
2012-08-05 - 2012-08-11,66
2012-08-12 - 2012-08-18,63
2012-08-19 - 2012-08-25,61
2012-08-26 - 2012-09-01,63
2012-09-02 - 2012-09-08,65
2012-09-09 - 2012-09-15,64
2012-09-16 - 2012-09-22,64
2012-09-23 - 2012-09-29,64
2012-09-30 - 2012-10-06,62
2012-10-07 - 2012-10-13,60
2012-10-14 - 2012-10-20,65
2012-10-21 - 2012-10-27,64
2012-10-28 - 2012-11-03,59
2012-11-04 - 2012-11-10,61
2012-11-11 - 2012-11-17,66
2012-11-18 - 2012-11-24,82
2012-11-25 - 2012-12-01,82
2012-12-02 - 2012-12-08,80
2012-12-09 - 2012-12-15,81
2012-12-16 - 2012-12-22,83
2012-12-23 - 2012-12-29,100
2012-12-30 - 2013-01-05,68
2013-01-06 - 2013-01-12,62
2013-01-13 - 2013-01-19,58
2013-01-20 - 2013-01-26,56
2013-01-27 - 2013-02-02,55
2013-02-03 - 2013-02-09,55
2013-02-10 - 2013-02-16,53
2013-02-17 - 2013-02-23,51
2013-02-24 - 2013-03-02,50
2013-03-03 - 2013-03-09,50
2013-03-10 - 2013-03-16,50
2013-03-17 - 2013-03-23,50
2013-03-24 - 2013-03-30,52
2013-03-31 - 2013-04-06,52
2013-04-07 - 2013-04-13,50
2013-04-14 - 2013-04-20,47
2013-04-21 - 2013-04-27,47
2013-04-28 - 2013-05-04,48
2013-05-05 - 2013-05-11,48
2013-05-12 - 2013-05-18,46
2013-05-19 - 2013-05-25,47
2013-05-26 - 2013-06-01,51
2013-06-02 - 2013-06-08,54
2013-06-09 - 2013-06-15,54
2013-06-16 - 2013-06-22,53
2013-06-23 - 2013-06-29,51
2013-06-30 - 2013-07-06,52
2013-07-07 - 2013-07-13,51
2013-07-14 - 2013-07-20,52
2013-07-21 - 2013-07-27,55
2013-07-28 - 2013-08-03,54
2013-08-04 - 2013-08-10,52
2013-08-11 - 2013-08-17,50
2013-08-18 - 2013-08-24,50
2013-08-25 - 2013-08-31,54
2013-09-01 - 2013-09-07,51
2013-09-08 - 2013-09-14,48
2013-09-15 - 2013-09-21,46
2013-09-22 - 2013-09-28,45
2013-09-29 - 2013-10-05,49
2013-10-06 - 2013-10-12,48
2013-10-13 - 2013-10-19,49
2013-10-20 - 2013-10-26,46
2013-10-27 - 2013-11-02,49
2013-11-03 - 2013-11-09,49
2013-11-10 - 2013-11-16,54
2013-11-17 - 2013-11-23,59
2013-11-24 - 2013-11-30,84
2013-12-01 - 2013-12-07,82
2013-12-08 - 2013-12-14,80
2013-12-15 - 2013-12-21,79
2013-12-22 - 2013-12-28,92
2013-12-29 - 2014-01-04,61
2014-01-05 - 2014-01-11,56
2014-01-12 - 2014-01-18,57
2014-01-19 - 2014-01-25,63
2014-01-26 - 2014-02-01,56
2014-02-02 - 2014-02-08,55
2014-02-09 - 2014-02-15,51
2014-02-16 - 2014-02-22,48
2014-02-23 - 2014-03-01,46
2014-03-02 - 2014-03-08,45
2014-03-09 - 2014-03-15,44
2014-03-16 - 2014-03-22,43
2014-03-23 - 2014-03-29,45
2014-03-30 - 2014-04-05,42
2014-04-06 - 2014-04-12,42
2014-04-13 - 2014-04-19,42
2014-04-20 - 2014-04-26,43
2014-04-27 - 2014-05-03,42
2014-05-04 - 2014-05-10,68
2014-05-11 - 2014-05-17,61
2014-05-18 - 2014-05-24,47
2014-05-25 - 2014-05-31,62
2014-06-01 - 2014-06-07,56
2014-06-08 - 2014-06-14,52
2014-06-15 - 2014-06-21,51
2014-06-22 - 2014-06-28,48
2014-06-29 - 2014-07-05,49


Top regions for beats
Region,beats
United States,100
Puerto Rico,74
Philippines,73
United Kingdom,72
Netherlands,69
Singapore,68
Canada,65
Australia,61
Ireland,60
New Zealand,59
South Africa,52
Germany,52
Norway,51
Hong Kong,51
Denmark,51
Nigeria,50
Switzerland,48
Taiwan,45
United Arab Emirates,42
France,42
Czech Republic,41
Dominican Republic,41
Belgium,41
Austria,40
Malaysia,38
Sweden,38
Mexico,36
Kazakhstan,35
Israel,35
Slovakia,35
Russia,34
Chile,33
Pakistan,32
Lithuania,30
Bulgaria,28
India,28
Hungary,27
Peru,26
Ukraine,25
Ecuador,24
Morocco,23
Italy,23
Venezuela,22
Poland,22
Portugal,22
Romania,22
Colombia,21
Spain,21
Serbia,20
Finland,20
Greece,20
Croatia,19
Brazil,19
Indonesia,18
Vietnam,17
Thailand,17
China,15
Egypt,14
Japan,14
Iran,14
Argentina,14
Turkey,14
Saudi Arabia,13
South Korea,12


Top cities for beats
City,beats
New York (United States),100
Los Angeles (United States),95
Atlanta (United States),95
Dallas (United States),93
Houston (United States),89
San Antonio (United States),87
San Francisco (United States),84
Chicago (United States),83
London (United Kingdom),64
Toronto (Canada),62
Singapore (Singapore),62
Berlin (Germany),45
Moscow (Russia),42
Paris (France),37
Mexico City (Mexico),29



Top searches for beats
dre beats,100
beats by dre,75
dr beats,25
dr dre,25
beats dr dre,25
the beats,20
headphones beats,20
headphones,20
beats monster,20
monster,20
studio beats,15
beats audio,15
solo beats,15
angel beats,15
free beats,10
beat,10
dre beats headphones,10
beats music,10
beats pro,10
beats pill,5
solo hd beats,5
dre beats studio,5
dre beats solo,5
wireless beats,5
htc beats,5
dr. dre beats,5
dr. dre,5
hp beats,5
fake beats,5
beats tour,5
casque beats,5
binaural beats,5
beats apple,5
cheap beats,5
beats mixr,5
bose,5
rap beats,5
beats per minute,5
dr.dre beats,5
htc beats audio,5
hip hop beats,5
headphone beats,5
audifonos beats,0
drum beats,0
instrumental beats,0
beats laptop,0
monster beats studio,0
beats detox,0
hodgy beats,0
beats kopfhörer,0



Rising searches for beats
beats pill,Breakout
beats audio,+250%
solo hd beats,+250%
solo beats,+170%
studio beats,+110%
dre beats studio,+90%
beats by dre,+80%
beats pro,+70%
dre beats,+70%
headphones,+60%



