Web Search interest: lazy sunday
Worldwide; Feb 2007 - Jan 2010

Interest over time
Week,lazy sunday
2007-02-04 - 2007-02-10,100
2007-02-11 - 2007-02-17,91
2007-02-18 - 2007-02-24,67
2007-02-25 - 2007-03-03,46
2007-03-04 - 2007-03-10,48
2007-03-11 - 2007-03-17,47
2007-03-18 - 2007-03-24,58
2007-03-25 - 2007-03-31,85
2007-04-01 - 2007-04-07,71
2007-04-08 - 2007-04-14,57
2007-04-15 - 2007-04-21,49
2007-04-22 - 2007-04-28,42
2007-04-29 - 2007-05-05,34
2007-05-06 - 2007-05-12,30
2007-05-13 - 2007-05-19,24
2007-05-20 - 2007-05-26,48
2007-05-27 - 2007-06-02,52
2007-06-03 - 2007-06-09,54
2007-06-10 - 2007-06-16,64
2007-06-17 - 2007-06-23,55
2007-06-24 - 2007-06-30,55
2007-07-01 - 2007-07-07,53
2007-07-08 - 2007-07-14,51
2007-07-15 - 2007-07-21,45
2007-07-22 - 2007-07-28,38
2007-07-29 - 2007-08-04,39
2007-08-05 - 2007-08-11,57
2007-08-12 - 2007-08-18,40
2007-08-19 - 2007-08-25,30
2007-08-26 - 2007-09-01,28
2007-09-02 - 2007-09-08,27
2007-09-09 - 2007-09-15,31
2007-09-16 - 2007-09-22,27
2007-09-23 - 2007-09-29,17
2007-09-30 - 2007-10-06,29
2007-10-07 - 2007-10-13,19
2007-10-14 - 2007-10-20,21
2007-10-21 - 2007-10-27,39
2007-10-28 - 2007-11-03,43
2007-11-04 - 2007-11-10,45
2007-11-11 - 2007-11-17,39
2007-11-18 - 2007-11-24,39
2007-11-25 - 2007-12-01,37
2007-12-02 - 2007-12-08,49
2007-12-09 - 2007-12-15,61
2007-12-16 - 2007-12-22,47
2007-12-23 - 2007-12-29,43
2007-12-30 - 2008-01-05,45
2008-01-06 - 2008-01-12,34
2008-01-13 - 2008-01-19,30
2008-01-20 - 2008-01-26,38
2008-01-27 - 2008-02-02,38
2008-02-03 - 2008-02-09,32
2008-02-10 - 2008-02-16,36
2008-02-17 - 2008-02-23,32
2008-02-24 - 2008-03-01,31
2008-03-02 - 2008-03-08,32
2008-03-09 - 2008-03-15,30
2008-03-16 - 2008-03-22,29
2008-03-23 - 2008-03-29,26
2008-03-30 - 2008-04-05,36
2008-04-06 - 2008-04-12,33
2008-04-13 - 2008-04-19,29
2008-04-20 - 2008-04-26,33
2008-04-27 - 2008-05-03,35
2008-05-04 - 2008-05-10,31
2008-05-11 - 2008-05-17,40
2008-05-18 - 2008-05-24,37
2008-05-25 - 2008-05-31,36
2008-06-01 - 2008-06-07,34
2008-06-08 - 2008-06-14,28
2008-06-15 - 2008-06-21,34
2008-06-22 - 2008-06-28,29
2008-06-29 - 2008-07-05,26
2008-07-06 - 2008-07-12,24
2008-07-13 - 2008-07-19,23
2008-07-20 - 2008-07-26,24
2008-07-27 - 2008-08-02,18
2008-08-03 - 2008-08-09,23
2008-08-10 - 2008-08-16,18
2008-08-17 - 2008-08-23,20
2008-08-24 - 2008-08-30,14
2008-08-31 - 2008-09-06,19
2008-09-07 - 2008-09-13,17
2008-09-14 - 2008-09-20,33
2008-09-21 - 2008-09-27,26
2008-09-28 - 2008-10-04,22
2008-10-05 - 2008-10-11,27
2008-10-12 - 2008-10-18,22
2008-10-19 - 2008-10-25,38
2008-10-26 - 2008-11-01,25
2008-11-02 - 2008-11-08,27
2008-11-09 - 2008-11-15,25
2008-11-16 - 2008-11-22,23
2008-11-23 - 2008-11-29,30
2008-11-30 - 2008-12-06,27
2008-12-07 - 2008-12-13,90
2008-12-14 - 2008-12-20,70
2008-12-21 - 2008-12-27,61
2008-12-28 - 2009-01-03,48
2009-01-04 - 2009-01-10,43
2009-01-11 - 2009-01-17,41
2009-01-18 - 2009-01-24,44
2009-01-25 - 2009-01-31,46
2009-02-01 - 2009-02-07,35
2009-02-08 - 2009-02-14,81
2009-02-15 - 2009-02-21,75
2009-02-22 - 2009-02-28,68
2009-03-01 - 2009-03-07,59
2009-03-08 - 2009-03-14,56
2009-03-15 - 2009-03-21,49
2009-03-22 - 2009-03-28,48
2009-03-29 - 2009-04-04,43
2009-04-05 - 2009-04-11,60
2009-04-12 - 2009-04-18,50
2009-04-19 - 2009-04-25,48
2009-04-26 - 2009-05-02,44
2009-05-03 - 2009-05-09,47
2009-05-10 - 2009-05-16,56
2009-05-17 - 2009-05-23,61
2009-05-24 - 2009-05-30,43
