Web Search interest: breaking balls
Worldwide; Jun 2011 - May 2014

Interest over time
Month,breaking balls
2011-06,53
2011-07,51
2011-08,67
2011-09,60
2011-10,55
2011-11,75
2011-12,70
2012-01,57
2012-02,51
2012-03,52
2012-04,65
2012-05,52
2012-06,62
2012-07,64
2012-08,73
2012-09,48
2012-10,59
2012-11,52
2012-12,62
2013-01,52
2013-02,43
2013-03,62
2013-04,47
2013-05,55
2013-06,51
2013-07,53
2013-08,63
2013-09,100
2013-10,80
2013-11,71
2013-12,73
2014-01,71
2014-02,54
2014-03,66
2014-04,53
2014-05,45


Top regions for breaking balls
Region,breaking balls
United States,100





Top searches for breaking balls
breaking my balls,100
breaking your balls,25
bricks breaking,25






