Web Search interest: feel dizzy
Worldwide; May 2012 - Apr 2015

Interest over time
Week,feel dizzy
2012-05-06 - 2012-05-12,50
2012-05-13 - 2012-05-19,51
2012-05-20 - 2012-05-26,54
2012-05-27 - 2012-06-02,100
2012-06-03 - 2012-06-09,72
2012-06-10 - 2012-06-16,63
2012-06-17 - 2012-06-23,55
2012-06-24 - 2012-06-30,59
2012-07-01 - 2012-07-07,58
2012-07-08 - 2012-07-14,68
2012-07-15 - 2012-07-21,71
2012-07-22 - 2012-07-28,63
2012-07-29 - 2012-08-04,63
2012-08-05 - 2012-08-11,60
2012-08-12 - 2012-08-18,68
2012-08-19 - 2012-08-25,63
2012-08-26 - 2012-09-01,60
2012-09-02 - 2012-09-08,56
2012-09-09 - 2012-09-15,57
2012-09-16 - 2012-09-22,59
2012-09-23 - 2012-09-29,61
2012-09-30 - 2012-10-06,57
2012-10-07 - 2012-10-13,57
2012-10-14 - 2012-10-20,55
2012-10-21 - 2012-10-27,57
2012-10-28 - 2012-11-03,55
2012-11-04 - 2012-11-10,57
2012-11-11 - 2012-11-17,52
2012-11-18 - 2012-11-24,48
2012-11-25 - 2012-12-01,56
2012-12-02 - 2012-12-08,56
2012-12-09 - 2012-12-15,57
2012-12-16 - 2012-12-22,54
2012-12-23 - 2012-12-29,51
2012-12-30 - 2013-01-05,61
2013-01-06 - 2013-01-12,63
2013-01-13 - 2013-01-19,60
2013-01-20 - 2013-01-26,64
2013-01-27 - 2013-02-02,59
2013-02-03 - 2013-02-09,59
2013-02-10 - 2013-02-16,58
2013-02-17 - 2013-02-23,58
2013-02-24 - 2013-03-02,65
2013-03-03 - 2013-03-09,63
2013-03-10 - 2013-03-16,65
2013-03-17 - 2013-03-23,63
2013-03-24 - 2013-03-30,62
2013-03-31 - 2013-04-06,62
2013-04-07 - 2013-04-13,62
2013-04-14 - 2013-04-20,66
2013-04-21 - 2013-04-27,65
2013-04-28 - 2013-05-04,58
2013-05-05 - 2013-05-11,61
2013-05-12 - 2013-05-18,62
2013-05-19 - 2013-05-25,58
2013-05-26 - 2013-06-01,60
2013-06-02 - 2013-06-08,53
2013-06-09 - 2013-06-15,64
2013-06-16 - 2013-06-22,56
2013-06-23 - 2013-06-29,62
2013-06-30 - 2013-07-06,64
2013-07-07 - 2013-07-13,67
2013-07-14 - 2013-07-20,63
2013-07-21 - 2013-07-27,72
2013-07-28 - 2013-08-03,72
2013-08-04 - 2013-08-10,70
2013-08-11 - 2013-08-17,66
2013-08-18 - 2013-08-24,65
2013-08-25 - 2013-08-31,62
2013-09-01 - 2013-09-07,64
2013-09-08 - 2013-09-14,60
2013-09-15 - 2013-09-21,61
2013-09-22 - 2013-09-28,61
2013-09-29 - 2013-10-05,61
2013-10-06 - 2013-10-12,55
2013-10-13 - 2013-10-19,67
2013-10-20 - 2013-10-26,60
2013-10-27 - 2013-11-02,59
2013-11-03 - 2013-11-09,58
2013-11-10 - 2013-11-16,63
2013-11-17 - 2013-11-23,62
2013-11-24 - 2013-11-30,54
2013-12-01 - 2013-12-07,52
2013-12-08 - 2013-12-14,57
2013-12-15 - 2013-12-21,59
2013-12-22 - 2013-12-28,58
2013-12-29 - 2014-01-04,63
2014-01-05 - 2014-01-11,72
2014-01-12 - 2014-01-18,59
2014-01-19 - 2014-01-25,62
2014-01-26 - 2014-02-01,60
2014-02-02 - 2014-02-08,63
2014-02-09 - 2014-02-15,61
2014-02-16 - 2014-02-22,63
2014-02-23 - 2014-03-01,67
2014-03-02 - 2014-03-08,63
2014-03-09 - 2014-03-15,60
2014-03-16 - 2014-03-22,67
2014-03-23 - 2014-03-29,60
2014-03-30 - 2014-04-05,67
2014-04-06 - 2014-04-12,67
2014-04-13 - 2014-04-19,64
2014-04-20 - 2014-04-26,67
2014-04-27 - 2014-05-03,65
2014-05-04 - 2014-05-10,64
2014-05-11 - 2014-05-17,64
2014-05-18 - 2014-05-24,63
2014-05-25 - 2014-05-31,69
2014-06-01 - 2014-06-07,68
2014-06-08 - 2014-06-14,63
2014-06-15 - 2014-06-21,65
2014-06-22 - 2014-06-28,64
2014-06-29 - 2014-07-05,62
2014-07-06 - 2014-07-12,66
2014-07-13 - 2014-07-19,67
2014-07-20 - 2014-07-26,64
2014-07-27 - 2014-08-02,63
2014-08-03 - 2014-08-09,67
2014-08-10 - 2014-08-16,62
2014-08-17 - 2014-08-23,64
2014-08-24 - 2014-08-30,59
2014-08-31 - 2014-09-06,57
2014-09-07 - 2014-09-13,65
2014-09-14 - 2014-09-20,64
2014-09-21 - 2014-09-27,60
2014-09-28 - 2014-10-04,62
2014-10-05 - 2014-10-11,65
2014-10-12 - 2014-10-18,60
2014-10-19 - 2014-10-25,62
2014-10-26 - 2014-11-01,56
2014-11-02 - 2014-11-08,60
2014-11-09 - 2014-11-15,62
2014-11-16 - 2014-11-22,60
2014-11-23 - 2014-11-29,54
2014-11-30 - 2014-12-06,61
2014-12-07 - 2014-12-13,63
2014-12-14 - 2014-12-20,63
2014-12-21 - 2014-12-27,64
2014-12-28 - 2015-01-03,62
2015-01-04 - 2015-01-10,67
2015-01-11 - 2015-01-17,66
2015-01-18 - 2015-01-24,69
2015-01-25 - 2015-01-31,63
2015-02-01 - 2015-02-07,57
2015-02-08 - 2015-02-14,66
2015-02-15 - 2015-02-21,62
2015-02-22 - 2015-02-28,64
2015-03-01 - 2015-03-07,61
2015-03-08 - 2015-03-14,64
2015-03-15 - 2015-03-21,66
2015-03-22 - 2015-03-28,65
2015-03-29 - 2015-04-04,62
2015-04-05 - 2015-04-11,66
2015-04-12 - 2015-04-18,65
2015-04-19 - 2015-04-25,63
2015-04-26 - 2015-05-02,65


Top regions for feel dizzy
Region,feel dizzy
United Kingdom,100
United States,62
Australia,59
Canada,56


Top cities for feel dizzy
City,feel dizzy
Birmingham (United Kingdom),100
Manchester (United Kingdom),99
London (United Kingdom),77
Johannesburg (South Africa),76
Los Angeles (United States),70
San Antonio (United States),69
Dallas (United States),67
Singapore (Singapore),65
Houston (United States),59
Atlanta (United States),58
Sydney (Australia),55
Chicago (United States),53
Toronto (Canada),52
Melbourne (Australia),51
San Francisco (United States),50



Top searches for feel dizzy
i feel dizzy,100
why feel dizzy,45
to feel dizzy,35
feeling dizzy,15
i feel nauseous,5
feel really dizzy,5
always feel dizzy,5
dizzy spells,0
suddenly feel dizzy,0






