Web Search interest: cats anesthesia
Worldwide; Jun 2012 - May 2015

Interest over time
Month,cats anesthesia
2012-06,100
2012-07,38
2012-08,36
2012-09,41
2012-10,38
2012-11,48
2012-12,39
2013-01,35
2013-02,46
2013-03,49
2013-04,39
2013-05,33
2013-06,33
2013-07,34
2013-08,36
2013-09,31
2013-10,26
2013-11,42
2013-12,35
2014-01,35
2014-02,41
2014-03,24
2014-04,52
2014-05,30
2014-06,30
2014-07,31
2014-08,31
2014-09,30
2014-10,32
2014-11,32
2014-12,28
2015-01,31
2015-02,38
2015-03,32
2015-04,69
2015-05,27



Top searches for cats anesthesia
cats after anesthesia,100
cats on anesthesia,70



Rising searches for cats anesthesia
cats on anesthesia,+120%
cats after anesthesia,+50%



