Web Search interest: monkeys
Worldwide; May 2009 - Apr 2012

Interest over time
Week,monkeys
2009-05-03 - 2009-05-09,59
2009-05-10 - 2009-05-16,60
2009-05-17 - 2009-05-23,59
2009-05-24 - 2009-05-30,56
2009-05-31 - 2009-06-06,58
2009-06-07 - 2009-06-13,54
2009-06-14 - 2009-06-20,53
2009-06-21 - 2009-06-27,55
2009-06-28 - 2009-07-04,54
2009-07-05 - 2009-07-11,69
2009-07-12 - 2009-07-18,62
2009-07-19 - 2009-07-25,60
2009-07-26 - 2009-08-01,76
2009-08-02 - 2009-08-08,77
2009-08-09 - 2009-08-15,72
2009-08-16 - 2009-08-22,82
2009-08-23 - 2009-08-29,100
2009-08-30 - 2009-09-05,88
2009-09-06 - 2009-09-12,94
2009-09-13 - 2009-09-19,79
2009-09-20 - 2009-09-26,70
2009-09-27 - 2009-10-03,67
2009-10-04 - 2009-10-10,69
2009-10-11 - 2009-10-17,67
2009-10-18 - 2009-10-24,67
2009-10-25 - 2009-10-31,63
2009-11-01 - 2009-11-07,68
2009-11-08 - 2009-11-14,73
2009-11-15 - 2009-11-21,78
2009-11-22 - 2009-11-28,66
2009-11-29 - 2009-12-05,65
2009-12-06 - 2009-12-12,61
2009-12-13 - 2009-12-19,60
2009-12-20 - 2009-12-26,57
2009-12-27 - 2010-01-02,58
2010-01-03 - 2010-01-09,59
2010-01-10 - 2010-01-16,60
2010-01-17 - 2010-01-23,59
2010-01-24 - 2010-01-30,64
2010-01-31 - 2010-02-06,70
2010-02-07 - 2010-02-13,64
2010-02-14 - 2010-02-20,59
2010-02-21 - 2010-02-27,56
2010-02-28 - 2010-03-06,64
2010-03-07 - 2010-03-13,61
2010-03-14 - 2010-03-20,57
2010-03-21 - 2010-03-27,64
2010-03-28 - 2010-04-03,62
2010-04-04 - 2010-04-10,58
2010-04-11 - 2010-04-17,58
2010-04-18 - 2010-04-24,63
2010-04-25 - 2010-05-01,57
2010-05-02 - 2010-05-08,55
2010-05-09 - 2010-05-15,53
