Web Search interest: cry
Worldwide; Apr 2010 - Mar 2013

Interest over time
Week,cry
2010-04-04 - 2010-04-10,37
2010-04-11 - 2010-04-17,36
2010-04-18 - 2010-04-24,36
2010-04-25 - 2010-05-01,36
2010-05-02 - 2010-05-08,36
2010-05-09 - 2010-05-15,36
2010-05-16 - 2010-05-22,36
2010-05-23 - 2010-05-29,35
2010-05-30 - 2010-06-05,36
2010-06-06 - 2010-06-12,34
2010-06-13 - 2010-06-19,34
2010-06-20 - 2010-06-26,35
2010-06-27 - 2010-07-03,35
2010-07-04 - 2010-07-10,36
2010-07-11 - 2010-07-17,34
2010-07-18 - 2010-07-24,35
2010-07-25 - 2010-07-31,35
2010-08-01 - 2010-08-07,35
2010-08-08 - 2010-08-14,35
2010-08-15 - 2010-08-21,35
2010-08-22 - 2010-08-28,34
2010-08-29 - 2010-09-04,33
2010-09-05 - 2010-09-11,34
2010-09-12 - 2010-09-18,38
2010-09-19 - 2010-09-25,36
2010-09-26 - 2010-10-02,35
2010-10-03 - 2010-10-09,35
2010-10-10 - 2010-10-16,35
2010-10-17 - 2010-10-23,34
2010-10-24 - 2010-10-30,34
2010-10-31 - 2010-11-06,35
2010-11-07 - 2010-11-13,33
2010-11-14 - 2010-11-20,34
2010-11-21 - 2010-11-27,32
2010-11-28 - 2010-12-04,32
2010-12-05 - 2010-12-11,33
2010-12-12 - 2010-12-18,32
2010-12-19 - 2010-12-25,35
2010-12-26 - 2011-01-01,35
2011-01-02 - 2011-01-08,35
2011-01-09 - 2011-01-15,33
2011-01-16 - 2011-01-22,33
2011-01-23 - 2011-01-29,33
2011-01-30 - 2011-02-05,33
2011-02-06 - 2011-02-12,33
2011-02-13 - 2011-02-19,33
2011-02-20 - 2011-02-26,32
2011-02-27 - 2011-03-05,33
2011-03-06 - 2011-03-12,33
2011-03-13 - 2011-03-19,30
2011-03-20 - 2011-03-26,31
2011-03-27 - 2011-04-02,31
2011-04-03 - 2011-04-09,32
2011-04-10 - 2011-04-16,32
2011-04-17 - 2011-04-23,33
2011-04-24 - 2011-04-30,32
2011-05-01 - 2011-05-07,31
2011-05-08 - 2011-05-14,33
2011-05-15 - 2011-05-21,31
2011-05-22 - 2011-05-28,32
2011-05-29 - 2011-06-04,33
2011-06-05 - 2011-06-11,34
2011-06-12 - 2011-06-18,33
2011-06-19 - 2011-06-25,33
2011-06-26 - 2011-07-02,31
2011-07-03 - 2011-07-09,32
2011-07-10 - 2011-07-16,33
2011-07-17 - 2011-07-23,32
2011-07-24 - 2011-07-30,33
2011-07-31 - 2011-08-06,33
2011-08-07 - 2011-08-13,34
2011-08-14 - 2011-08-20,35
2011-08-21 - 2011-08-27,33
2011-08-28 - 2011-09-03,33
2011-09-04 - 2011-09-10,32
2011-09-11 - 2011-09-17,32
2011-09-18 - 2011-09-24,31
2011-09-25 - 2011-10-01,31
2011-10-02 - 2011-10-08,31
2011-10-09 - 2011-10-15,31
2011-10-16 - 2011-10-22,30
2011-10-23 - 2011-10-29,30
2011-10-30 - 2011-11-05,31
2011-11-06 - 2011-11-12,33
2011-11-13 - 2011-11-19,34
2011-11-20 - 2011-11-26,33
2011-11-27 - 2011-12-03,32
2011-12-04 - 2011-12-10,32
2011-12-11 - 2011-12-17,33
2011-12-18 - 2011-12-24,33
2011-12-25 - 2011-12-31,35
2012-01-01 - 2012-01-07,33
2012-01-08 - 2012-01-14,32
2012-01-15 - 2012-01-21,31
2012-01-22 - 2012-01-28,31
2012-01-29 - 2012-02-04,30
2012-02-05 - 2012-02-11,30
2012-02-12 - 2012-02-18,33
2012-02-19 - 2012-02-25,33
2012-02-26 - 2012-03-03,31
2012-03-04 - 2012-03-10,31
2012-03-11 - 2012-03-17,30
2012-03-18 - 2012-03-24,31
2012-03-25 - 2012-03-31,31
2012-04-01 - 2012-04-07,33
2012-04-08 - 2012-04-14,32
2012-04-15 - 2012-04-21,31
2012-04-22 - 2012-04-28,31
2012-04-29 - 2012-05-05,32
2012-05-06 - 2012-05-12,30
2012-05-13 - 2012-05-19,30
2012-05-20 - 2012-05-26,31
2012-05-27 - 2012-06-02,31
2012-06-03 - 2012-06-09,34
2012-06-10 - 2012-06-16,32
2012-06-17 - 2012-06-23,32
2012-06-24 - 2012-06-30,30
2012-07-01 - 2012-07-07,29
2012-07-08 - 2012-07-14,30
2012-07-15 - 2012-07-21,29
2012-07-22 - 2012-07-28,29
2012-07-29 - 2012-08-04,29
2012-08-05 - 2012-08-11,30
2012-08-12 - 2012-08-18,31
2012-08-19 - 2012-08-25,30
2012-08-26 - 2012-09-01,29
2012-09-02 - 2012-09-08,30
2012-09-09 - 2012-09-15,31
2012-09-16 - 2012-09-22,32
2012-09-23 - 2012-09-29,32
2012-09-30 - 2012-10-06,33
2012-10-07 - 2012-10-13,34
2012-10-14 - 2012-10-20,34
2012-10-21 - 2012-10-27,35
2012-10-28 - 2012-11-03,35
2012-11-04 - 2012-11-10,36
2012-11-11 - 2012-11-17,38
2012-11-18 - 2012-11-24,46
2012-11-25 - 2012-12-01,77
2012-12-02 - 2012-12-08,100
2012-12-09 - 2012-12-15,85
2012-12-16 - 2012-12-22,81
2012-12-23 - 2012-12-29,96
2012-12-30 - 2013-01-05,87
2013-01-06 - 2013-01-12,69
2013-01-13 - 2013-01-19,74
2013-01-20 - 2013-01-26,74
2013-01-27 - 2013-02-02,70
2013-02-03 - 2013-02-09,61
2013-02-10 - 2013-02-16,56
2013-02-17 - 2013-02-23,53
2013-02-24 - 2013-03-02,51
2013-03-03 - 2013-03-09,51
2013-03-10 - 2013-03-16,47
2013-03-17 - 2013-03-23,49
2013-03-24 - 2013-03-30,48
2013-03-31 - 2013-04-06,44


Top regions for cry
Region,cry
Philippines,100
Vietnam,59
Indonesia,57
Bangladesh,52
Singapore,51
South Africa,50
Belarus,50
Russia,49
Kazakhstan,49
Malaysia,48
Czech Republic,45
Hungary,45
United States,44
Romania,43
Australia,43
Poland,42
New Zealand,42
Croatia,41
Bosnia & Herzegovina,41
Slovakia,41
Canada,40
Serbia,39
Tunisia,39
Puerto Rico,39
Ukraine,38
Argentina,38
Thailand,38
Costa Rica,38
Chile,38
Lithuania,37
United Kingdom,37
Bulgaria,37
Guatemala,37
Uruguay,37
Brazil,36
Norway,35
Ireland,34
Dominican Republic,34
Sweden,34
Mexico,31
Pakistan,30
Ecuador,30
Germany,30
Portugal,30
Greece,29
Slovenia,28
Hong Kong,28
Finland,28
Israel,28
United Arab Emirates,28
India,27
Algeria,26
Colombia,26
Austria,25
Italy,25
Netherlands,25
Peru,25
Denmark,24
Spain,24
Belgium,23
Venezuela,23
France,22
Egypt,21
Morocco,21
Switzerland,21
Turkey,20
South Korea,18
Iran,18
Taiwan,14
