Web Search interest: diet coke mentos
Worldwide; Jun 2006 - May 2009

Interest over time
Week,diet coke mentos
2006-06-04 - 2006-06-10,34
2006-06-11 - 2006-06-17,100
2006-06-18 - 2006-06-24,54
2006-06-25 - 2006-07-01,58
2006-07-02 - 2006-07-08,59
2006-07-09 - 2006-07-15,44
2006-07-16 - 2006-07-22,26
2006-07-23 - 2006-07-29,19
2006-07-30 - 2006-08-05,30
2006-08-06 - 2006-08-12,53
2006-08-13 - 2006-08-19,28
2006-08-20 - 2006-08-26,38
2006-08-27 - 2006-09-02,22
2006-09-03 - 2006-09-09,20
2006-09-10 - 2006-09-16,18
2006-09-17 - 2006-09-23,14
2006-09-24 - 2006-09-30,15
2006-10-01 - 2006-10-07,11
2006-10-08 - 2006-10-14,11
2006-10-15 - 2006-10-21,9
2006-10-22 - 2006-10-28,11
2006-10-29 - 2006-11-04,13
2006-11-05 - 2006-11-11,12
2006-11-12 - 2006-11-18,11
2006-11-19 - 2006-11-25,11
2006-11-26 - 2006-12-02,10
2006-12-03 - 2006-12-09,9
2006-12-10 - 2006-12-16,8
2006-12-17 - 2006-12-23,8
2006-12-24 - 2006-12-30,9
2006-12-31 - 2007-01-06,10
2007-01-07 - 2007-01-13,7
2007-01-14 - 2007-01-20,6
2007-01-21 - 2007-01-27,7
2007-01-28 - 2007-02-03,6
2007-02-04 - 2007-02-10,7
2007-02-11 - 2007-02-17,7
2007-02-18 - 2007-02-24,6
2007-02-25 - 2007-03-03,5
2007-03-04 - 2007-03-10,5
2007-03-11 - 2007-03-17,5
2007-03-18 - 2007-03-24,6
2007-03-25 - 2007-03-31,6
2007-04-01 - 2007-04-07,5
2007-04-08 - 2007-04-14,5
2007-04-15 - 2007-04-21,5
2007-04-22 - 2007-04-28,5
2007-04-29 - 2007-05-05,4
2007-05-06 - 2007-05-12,4
2007-05-13 - 2007-05-19,5
2007-05-20 - 2007-05-26,4
2007-05-27 - 2007-06-02,4
2007-06-03 - 2007-06-09,4
2007-06-10 - 2007-06-16,4
2007-06-17 - 2007-06-23,4
2007-06-24 - 2007-06-30,3
2007-07-01 - 2007-07-07,3
2007-07-08 - 2007-07-14,3
2007-07-15 - 2007-07-21,3
2007-07-22 - 2007-07-28,2
2007-07-29 - 2007-08-04,3
2007-08-05 - 2007-08-11,2
2007-08-12 - 2007-08-18,2
