Web Search interest: awkward moment
Worldwide; Feb 2011 - Jan 2014

Interest over time
Week,awkward moment
2011-02-06 - 2011-02-12,3
2011-02-13 - 2011-02-19,4
2011-02-20 - 2011-02-26,4
2011-02-27 - 2011-03-05,3
2011-03-06 - 2011-03-12,3
2011-03-13 - 2011-03-19,3
2011-03-20 - 2011-03-26,3
2011-03-27 - 2011-04-02,3
2011-04-03 - 2011-04-09,3
2011-04-10 - 2011-04-16,4
2011-04-17 - 2011-04-23,4
2011-04-24 - 2011-04-30,5
2011-05-01 - 2011-05-07,6
2011-05-08 - 2011-05-14,8
2011-05-15 - 2011-05-21,6
2011-05-22 - 2011-05-28,6
2011-05-29 - 2011-06-04,6
2011-06-05 - 2011-06-11,6
2011-06-12 - 2011-06-18,6
2011-06-19 - 2011-06-25,6
2011-06-26 - 2011-07-02,7
2011-07-03 - 2011-07-09,7
2011-07-10 - 2011-07-16,7
2011-07-17 - 2011-07-23,9
2011-07-24 - 2011-07-30,8
2011-07-31 - 2011-08-06,9
2011-08-07 - 2011-08-13,9
2011-08-14 - 2011-08-20,10
2011-08-21 - 2011-08-27,9
2011-08-28 - 2011-09-03,10
2011-09-04 - 2011-09-10,10
2011-09-11 - 2011-09-17,10
2011-09-18 - 2011-09-24,9
2011-09-25 - 2011-10-01,10
2011-10-02 - 2011-10-08,11
2011-10-09 - 2011-10-15,10
2011-10-16 - 2011-10-22,12
2011-10-23 - 2011-10-29,13
2011-10-30 - 2011-11-05,14
2011-11-06 - 2011-11-12,13
2011-11-13 - 2011-11-19,16
2011-11-20 - 2011-11-26,20
2011-11-27 - 2011-12-03,25
2011-12-04 - 2011-12-10,18
2011-12-11 - 2011-12-17,17
2011-12-18 - 2011-12-24,19
2011-12-25 - 2011-12-31,19
2012-01-01 - 2012-01-07,16
2012-01-08 - 2012-01-14,23
2012-01-15 - 2012-01-21,20
2012-01-22 - 2012-01-28,32
2012-01-29 - 2012-02-04,23
2012-02-05 - 2012-02-11,20
2012-02-12 - 2012-02-18,16
2012-02-19 - 2012-02-25,17
2012-02-26 - 2012-03-03,15
2012-03-04 - 2012-03-10,13
2012-03-11 - 2012-03-17,13
2012-03-18 - 2012-03-24,13
2012-03-25 - 2012-03-31,12
2012-04-01 - 2012-04-07,13
2012-04-08 - 2012-04-14,12
2012-04-15 - 2012-04-21,10
2012-04-22 - 2012-04-28,10
2012-04-29 - 2012-05-05,11
2012-05-06 - 2012-05-12,10
2012-05-13 - 2012-05-19,11
2012-05-20 - 2012-05-26,10
2012-05-27 - 2012-06-02,10
2012-06-03 - 2012-06-09,11
2012-06-10 - 2012-06-16,10
2012-06-17 - 2012-06-23,10
2012-06-24 - 2012-06-30,9
2012-07-01 - 2012-07-07,9
2012-07-08 - 2012-07-14,10
2012-07-15 - 2012-07-21,9
2012-07-22 - 2012-07-28,8
2012-07-29 - 2012-08-04,7
2012-08-05 - 2012-08-11,7
2012-08-12 - 2012-08-18,8
2012-08-19 - 2012-08-25,7
2012-08-26 - 2012-09-01,7
2012-09-02 - 2012-09-08,7
2012-09-09 - 2012-09-15,7
2012-09-16 - 2012-09-22,6
2012-09-23 - 2012-09-29,6
2012-09-30 - 2012-10-06,6
2012-10-07 - 2012-10-13,6
2012-10-14 - 2012-10-20,7
2012-10-21 - 2012-10-27,6
2012-10-28 - 2012-11-03,6
2012-11-04 - 2012-11-10,7
2012-11-11 - 2012-11-17,7
2012-11-18 - 2012-11-24,6
2012-11-25 - 2012-12-01,6
2012-12-02 - 2012-12-08,6
2012-12-09 - 2012-12-15,6
2012-12-16 - 2012-12-22,6
2012-12-23 - 2012-12-29,7
2012-12-30 - 2013-01-05,7
2013-01-06 - 2013-01-12,6
2013-01-13 - 2013-01-19,5
