Web Search interest: bubbles
Worldwide; Mar 2012 - Feb 2015

Interest over time
Week,bubbles
2012-03-04 - 2012-03-10,95
2012-03-11 - 2012-03-17,94
2012-03-18 - 2012-03-24,95
2012-03-25 - 2012-03-31,95
2012-04-01 - 2012-04-07,97
2012-04-08 - 2012-04-14,98
2012-04-15 - 2012-04-21,95
2012-04-22 - 2012-04-28,95
2012-04-29 - 2012-05-05,94
2012-05-06 - 2012-05-12,95
2012-05-13 - 2012-05-19,95
2012-05-20 - 2012-05-26,91
2012-05-27 - 2012-06-02,90
2012-06-03 - 2012-06-09,90
2012-06-10 - 2012-06-16,90
2012-06-17 - 2012-06-23,100
2012-06-24 - 2012-06-30,91
2012-07-01 - 2012-07-07,91
2012-07-08 - 2012-07-14,91
2012-07-15 - 2012-07-21,90
2012-07-22 - 2012-07-28,93
2012-07-29 - 2012-08-04,91
2012-08-05 - 2012-08-11,89
2012-08-12 - 2012-08-18,90
2012-08-19 - 2012-08-25,86
2012-08-26 - 2012-09-01,87
2012-09-02 - 2012-09-08,86
2012-09-09 - 2012-09-15,86
2012-09-16 - 2012-09-22,85
2012-09-23 - 2012-09-29,86
2012-09-30 - 2012-10-06,86
2012-10-07 - 2012-10-13,84
2012-10-14 - 2012-10-20,84
2012-10-21 - 2012-10-27,82
2012-10-28 - 2012-11-03,82
2012-11-04 - 2012-11-10,83
2012-11-11 - 2012-11-17,81
2012-11-18 - 2012-11-24,83
2012-11-25 - 2012-12-01,85
2012-12-02 - 2012-12-08,84
2012-12-09 - 2012-12-15,82
2012-12-16 - 2012-12-22,82
2012-12-23 - 2012-12-29,87
2012-12-30 - 2013-01-05,87
2013-01-06 - 2013-01-12,83
2013-01-13 - 2013-01-19,83
2013-01-20 - 2013-01-26,84
2013-01-27 - 2013-02-02,85
2013-02-03 - 2013-02-09,85
2013-02-10 - 2013-02-16,87
2013-02-17 - 2013-02-23,85
2013-02-24 - 2013-03-02,84
2013-03-03 - 2013-03-09,82
2013-03-10 - 2013-03-16,81
2013-03-17 - 2013-03-23,81
2013-03-24 - 2013-03-30,82
2013-03-31 - 2013-04-06,84
2013-04-07 - 2013-04-13,85
2013-04-14 - 2013-04-20,83
2013-04-21 - 2013-04-27,83
2013-04-28 - 2013-05-04,83
2013-05-05 - 2013-05-11,81
2013-05-12 - 2013-05-18,80
2013-05-19 - 2013-05-25,79
2013-05-26 - 2013-06-01,79
2013-06-02 - 2013-06-08,77
2013-06-09 - 2013-06-15,76
2013-06-16 - 2013-06-22,76
2013-06-23 - 2013-06-29,77
2013-06-30 - 2013-07-06,78
2013-07-07 - 2013-07-13,77
2013-07-14 - 2013-07-20,78
2013-07-21 - 2013-07-27,78
2013-07-28 - 2013-08-03,77
2013-08-04 - 2013-08-10,77
2013-08-11 - 2013-08-17,74
2013-08-18 - 2013-08-24,74
2013-08-25 - 2013-08-31,72
2013-09-01 - 2013-09-07,71
2013-09-08 - 2013-09-14,70
2013-09-15 - 2013-09-21,72
2013-09-22 - 2013-09-28,70
2013-09-29 - 2013-10-05,69
2013-10-06 - 2013-10-12,68
2013-10-13 - 2013-10-19,67
2013-10-20 - 2013-10-26,67
2013-10-27 - 2013-11-02,67
2013-11-03 - 2013-11-09,67
2013-11-10 - 2013-11-16,67
2013-11-17 - 2013-11-23,67
2013-11-24 - 2013-11-30,63
2013-12-01 - 2013-12-07,66
2013-12-08 - 2013-12-14,66
2013-12-15 - 2013-12-21,66
2013-12-22 - 2013-12-28,68
2013-12-29 - 2014-01-04,73
2014-01-05 - 2014-01-11,81
2014-01-12 - 2014-01-18,70
2014-01-19 - 2014-01-25,70
2014-01-26 - 2014-02-01,67
2014-02-02 - 2014-02-08,68
2014-02-09 - 2014-02-15,67
2014-02-16 - 2014-02-22,66
2014-02-23 - 2014-03-01,67
2014-03-02 - 2014-03-08,67
2014-03-09 - 2014-03-15,67
2014-03-16 - 2014-03-22,65
