Web Search interest: surfer swallowed whale
Worldwide; Nov 2011 - Oct 2014

Interest over time
Week,surfer swallowed whale
2011-11-06 - 2011-11-12,100
2011-11-13 - 2011-11-19,0
2011-11-20 - 2011-11-26,0
2011-11-27 - 2011-12-03,0
2011-12-04 - 2011-12-10,0
2011-12-11 - 2011-12-17,0
2011-12-18 - 2011-12-24,0
2011-12-25 - 2011-12-31,0
2012-01-01 - 2012-01-07,0
2012-01-08 - 2012-01-14,0
2012-01-15 - 2012-01-21,0
2012-01-22 - 2012-01-28,0
2012-01-29 - 2012-02-04,0
2012-02-05 - 2012-02-11,0
2012-02-12 - 2012-02-18,0
2012-02-19 - 2012-02-25,0
2012-02-26 - 2012-03-03,0
2012-03-04 - 2012-03-10,0
2012-03-11 - 2012-03-17,0
2012-03-18 - 2012-03-24,0
2012-03-25 - 2012-03-31,0
2012-04-01 - 2012-04-07,0
2012-04-08 - 2012-04-14,0
2012-04-15 - 2012-04-21,0
2012-04-22 - 2012-04-28,0
2012-04-29 - 2012-05-05,91
2012-05-06 - 2012-05-12,43
2012-05-13 - 2012-05-19,0
2012-05-20 - 2012-05-26,0
2012-05-27 - 2012-06-02,0
2012-06-03 - 2012-06-09,0
2012-06-10 - 2012-06-16,0
2012-06-17 - 2012-06-23,0
2012-06-24 - 2012-06-30,0
2012-07-01 - 2012-07-07,0
2012-07-08 - 2012-07-14,0
2012-07-15 - 2012-07-21,0
2012-07-22 - 2012-07-28,0
2012-07-29 - 2012-08-04,0
2012-08-05 - 2012-08-11,0
2012-08-12 - 2012-08-18,0
2012-08-19 - 2012-08-25,0
2012-08-26 - 2012-09-01,0
2012-09-02 - 2012-09-08,0
2012-09-09 - 2012-09-15,0
2012-09-16 - 2012-09-22,0
2012-09-23 - 2012-09-29,0
2012-09-30 - 2012-10-06,0
2012-10-07 - 2012-10-13,0
2012-10-14 - 2012-10-20,0
2012-10-21 - 2012-10-27,0
2012-10-28 - 2012-11-03,0
2012-11-04 - 2012-11-10,0
2012-11-11 - 2012-11-17,0
2012-11-18 - 2012-11-24,0
2012-11-25 - 2012-12-01,0
2012-12-02 - 2012-12-08,0
2012-12-09 - 2012-12-15,0
2012-12-16 - 2012-12-22,0
2012-12-23 - 2012-12-29,0
2012-12-30 - 2013-01-05,0
2013-01-06 - 2013-01-12,0
2013-01-13 - 2013-01-19,0
2013-01-20 - 2013-01-26,0
2013-01-27 - 2013-02-02,0
2013-02-03 - 2013-02-09,0
2013-02-10 - 2013-02-16,0
2013-02-17 - 2013-02-23,0
