Web Search interest: blame alcohol
Worldwide; Oct 2009 - Sep 2012

Interest over time
Week,blame alcohol
2009-10-04 - 2009-10-10,9
2009-10-11 - 2009-10-17,10
2009-10-18 - 2009-10-24,8
2009-10-25 - 2009-10-31,8
2009-11-01 - 2009-11-07,7
2009-11-08 - 2009-11-14,7
2009-11-15 - 2009-11-21,7
2009-11-22 - 2009-11-28,7
2009-11-29 - 2009-12-05,7
2009-12-06 - 2009-12-12,7
2009-12-13 - 2009-12-19,7
2009-12-20 - 2009-12-26,7
2009-12-27 - 2010-01-02,10
2010-01-03 - 2010-01-09,6
2010-01-10 - 2010-01-16,7
2010-01-17 - 2010-01-23,7
2010-01-24 - 2010-01-30,6
2010-01-31 - 2010-02-06,25
2010-02-07 - 2010-02-13,9
2010-02-14 - 2010-02-20,17
2010-02-21 - 2010-02-27,8
2010-02-28 - 2010-03-06,8
2010-03-07 - 2010-03-13,6
2010-03-14 - 2010-03-20,6
2010-03-21 - 2010-03-27,7
2010-03-28 - 2010-04-03,6
2010-04-04 - 2010-04-10,7
2010-04-11 - 2010-04-17,6
2010-04-18 - 2010-04-24,5
2010-04-25 - 2010-05-01,5
2010-05-02 - 2010-05-08,6
2010-05-09 - 2010-05-15,5
2010-05-16 - 2010-05-22,4
2010-05-23 - 2010-05-29,5
2010-05-30 - 2010-06-05,5
2010-06-06 - 2010-06-12,5
2010-06-13 - 2010-06-19,4
2010-06-20 - 2010-06-26,5
2010-06-27 - 2010-07-03,4
2010-07-04 - 2010-07-10,4
2010-07-11 - 2010-07-17,5
2010-07-18 - 2010-07-24,3
2010-07-25 - 2010-07-31,4
2010-08-01 - 2010-08-07,4
2010-08-08 - 2010-08-14,4
2010-08-15 - 2010-08-21,4
2010-08-22 - 2010-08-28,3
2010-08-29 - 2010-09-04,3
2010-09-05 - 2010-09-11,3
2010-09-12 - 2010-09-18,4
2010-09-19 - 2010-09-25,3
2010-09-26 - 2010-10-02,4
2010-10-03 - 2010-10-09,5
2010-10-10 - 2010-10-16,3
2010-10-17 - 2010-10-23,3
2010-10-24 - 2010-10-30,3
2010-10-31 - 2010-11-06,3
2010-11-07 - 2010-11-13,3
2010-11-14 - 2010-11-20,3
2010-11-21 - 2010-11-27,3
2010-11-28 - 2010-12-04,3
2010-12-05 - 2010-12-11,3
2010-12-12 - 2010-12-18,3
2010-12-19 - 2010-12-25,3
2010-12-26 - 2011-01-01,4
2011-01-02 - 2011-01-08,3
2011-01-09 - 2011-01-15,4
2011-01-16 - 2011-01-22,3
2011-01-23 - 2011-01-29,4
2011-01-30 - 2011-02-05,4
2011-02-06 - 2011-02-12,7
2011-02-13 - 2011-02-19,37
2011-02-20 - 2011-02-26,100
2011-02-27 - 2011-03-05,34
2011-03-06 - 2011-03-12,23
2011-03-13 - 2011-03-19,15
2011-03-20 - 2011-03-26,11
2011-03-27 - 2011-04-02,13
2011-04-03 - 2011-04-09,12
2011-04-10 - 2011-04-16,19
2011-04-17 - 2011-04-23,15
2011-04-24 - 2011-04-30,15
2011-05-01 - 2011-05-07,16
2011-05-08 - 2011-05-14,14
2011-05-15 - 2011-05-21,12
2011-05-22 - 2011-05-28,10
2011-05-29 - 2011-06-04,9
2011-06-05 - 2011-06-11,9
2011-06-12 - 2011-06-18,8
2011-06-19 - 2011-06-25,10
2011-06-26 - 2011-07-02,7
2011-07-03 - 2011-07-09,8
2011-07-10 - 2011-07-16,7
2011-07-17 - 2011-07-23,7
2011-07-24 - 2011-07-30,6
2011-07-31 - 2011-08-06,6
2011-08-07 - 2011-08-13,7
2011-08-14 - 2011-08-20,8
2011-08-21 - 2011-08-27,7
2011-08-28 - 2011-09-03,5
2011-09-04 - 2011-09-10,5
2011-09-11 - 2011-09-17,5
2011-09-18 - 2011-09-24,5
2011-09-25 - 2011-10-01,6
2011-10-02 - 2011-10-08,6
2011-10-09 - 2011-10-15,5
2011-10-16 - 2011-10-22,5
2011-10-23 - 2011-10-29,5
2011-10-30 - 2011-11-05,6
2011-11-06 - 2011-11-12,5
2011-11-13 - 2011-11-19,5
2011-11-20 - 2011-11-26,5
2011-11-27 - 2011-12-03,4
2011-12-04 - 2011-12-10,4
2011-12-11 - 2011-12-17,4
2011-12-18 - 2011-12-24,4
2011-12-25 - 2011-12-31,5
2012-01-01 - 2012-01-07,5
2012-01-08 - 2012-01-14,4
2012-01-15 - 2012-01-21,4
2012-01-22 - 2012-01-28,4
2012-01-29 - 2012-02-04,4
2012-02-05 - 2012-02-11,4
2012-02-12 - 2012-02-18,3
2012-02-19 - 2012-02-25,4
2012-02-26 - 2012-03-03,3
2012-03-04 - 2012-03-10,3
2012-03-11 - 2012-03-17,3
2012-03-18 - 2012-03-24,4
2012-03-25 - 2012-03-31,4
2012-04-01 - 2012-04-07,4
2012-04-08 - 2012-04-14,4
2012-04-15 - 2012-04-21,3
2012-04-22 - 2012-04-28,3
2012-04-29 - 2012-05-05,4
2012-05-06 - 2012-05-12,3
2012-05-13 - 2012-05-19,3
2012-05-20 - 2012-05-26,3
2012-05-27 - 2012-06-02,3
2012-06-03 - 2012-06-09,3
2012-06-10 - 2012-06-16,3
2012-06-17 - 2012-06-23,3
2012-06-24 - 2012-06-30,3
2012-07-01 - 2012-07-07,4
2012-07-08 - 2012-07-14,3
2012-07-15 - 2012-07-21,3
2012-07-22 - 2012-07-28,3
2012-07-29 - 2012-08-04,3
2012-08-05 - 2012-08-11,4
2012-08-12 - 2012-08-18,3
2012-08-19 - 2012-08-25,3
2012-08-26 - 2012-09-01,3
2012-09-02 - 2012-09-08,4
2012-09-09 - 2012-09-15,3
2012-09-16 - 2012-09-22,3
2012-09-23 - 2012-09-29,3
2012-09-30 - 2012-10-06,2


Top regions for blame alcohol
Region,blame alcohol
United States,100
Canada,86
United Kingdom,58


Top cities for blame alcohol
City,blame alcohol
Los Angeles (United States),100
New York (United States),95
Toronto (Canada),93
London (United Kingdom),35



Top searches for blame alcohol
blame it alcohol,100
blame it,100
blame the alcohol,100
alcohol lyrics,35
blame it lyrics,35
glee blame it,30
alcohol song,5
glee tik tok,0



Rising searches for blame alcohol
glee blame it,Breakout



