Web Search interest: crush obama
Worldwide; Jun 2007 - May 2010

Interest over time
Month,crush obama
2007-06,100
2007-07,33
2007-08,15
2007-09,8
2007-10,8
2007-11,8
2007-12,8
2008-01,13
2008-02,25
2008-03,17
2008-04,9
2008-05,7
2008-06,8
2008-07,5
2008-08,6
2008-09,9
2008-10,16
2008-11,34
2008-12,7
2009-01,12
2009-02,6
2009-03,5
2009-04,5
2009-05,5
2009-06,4
2009-07,4
2009-08,6
2009-09,4
2009-10,4
2009-11,3
2009-12,3
2010-01,4
2010-02,5
2010-03,0
2010-04,0
2010-05,0


Top regions for crush obama
Region,crush obama
United States,100





Top searches for crush obama
crush on obama,100



Rising searches for crush obama
crush on obama,Breakout



