Web Search interest: potato
Worldwide; Dec 2009 - Nov 2012

Interest over time
Week,potato
2009-12-06 - 2009-12-12,38
2009-12-13 - 2009-12-19,39
2009-12-20 - 2009-12-26,57
2009-12-27 - 2010-01-02,40
2010-01-03 - 2010-01-09,40
2010-01-10 - 2010-01-16,38
2010-01-17 - 2010-01-23,37
2010-01-24 - 2010-01-30,38
2010-01-31 - 2010-02-06,38
2010-02-07 - 2010-02-13,37
2010-02-14 - 2010-02-20,35
2010-02-21 - 2010-02-27,35
2010-02-28 - 2010-03-06,34
2010-03-07 - 2010-03-13,34
2010-03-14 - 2010-03-20,35
2010-03-21 - 2010-03-27,34
2010-03-28 - 2010-04-03,40
2010-04-04 - 2010-04-10,35
2010-04-11 - 2010-04-17,31
2010-04-18 - 2010-04-24,32
2010-04-25 - 2010-05-01,32
2010-05-02 - 2010-05-08,32
2010-05-09 - 2010-05-15,33
2010-05-16 - 2010-05-22,32
2010-05-23 - 2010-05-29,33
2010-05-30 - 2010-06-05,33
2010-06-06 - 2010-06-12,31
2010-06-13 - 2010-06-19,31
2010-06-20 - 2010-06-26,31
2010-06-27 - 2010-07-03,35
2010-07-04 - 2010-07-10,35
2010-07-11 - 2010-07-17,33
2010-07-18 - 2010-07-24,34
2010-07-25 - 2010-07-31,33
2010-08-01 - 2010-08-07,34
2010-08-08 - 2010-08-14,33
2010-08-15 - 2010-08-21,34
2010-08-22 - 2010-08-28,32
2010-08-29 - 2010-09-04,32
2010-09-05 - 2010-09-11,36
2010-09-12 - 2010-09-18,34
2010-09-19 - 2010-09-25,35
2010-09-26 - 2010-10-02,36
2010-10-03 - 2010-10-09,39
2010-10-10 - 2010-10-16,38
2010-10-17 - 2010-10-23,39
2010-10-24 - 2010-10-30,39
2010-10-31 - 2010-11-06,40
2010-11-07 - 2010-11-13,42
2010-11-14 - 2010-11-20,52
2010-11-21 - 2010-11-27,91
2010-11-28 - 2010-12-04,44
2010-12-05 - 2010-12-11,41
2010-12-12 - 2010-12-18,40
2010-12-19 - 2010-12-25,60
2010-12-26 - 2011-01-01,43
2011-01-02 - 2011-01-08,40
2011-01-09 - 2011-01-15,42
