Web Search interest: catch ice dude
Worldwide; Sep 2012 - Aug 2015

Interest over time
Week,catch ice dude
2012-09-02 - 2012-09-08,0
2012-09-09 - 2012-09-15,0
2012-09-16 - 2012-09-22,0
2012-09-23 - 2012-09-29,0
2012-09-30 - 2012-10-06,0
2012-10-07 - 2012-10-13,0
2012-10-14 - 2012-10-20,100
2012-10-21 - 2012-10-27,49
2012-10-28 - 2012-11-03,21
2012-11-04 - 2012-11-10,9
2012-11-11 - 2012-11-17,10
2012-11-18 - 2012-11-24,10
2012-11-25 - 2012-12-01,10
2012-12-02 - 2012-12-08,10
2012-12-09 - 2012-12-15,9
2012-12-16 - 2012-12-22,9
2012-12-23 - 2012-12-29,12
2012-12-30 - 2013-01-05,16
2013-01-06 - 2013-01-12,0
2013-01-13 - 2013-01-19,0
2013-01-20 - 2013-01-26,0
2013-01-27 - 2013-02-02,0
2013-02-03 - 2013-02-09,0
2013-02-10 - 2013-02-16,0
2013-02-17 - 2013-02-23,0
2013-02-24 - 2013-03-02,0
2013-03-03 - 2013-03-09,0
2013-03-10 - 2013-03-16,0
2013-03-17 - 2013-03-23,0
2013-03-24 - 2013-03-30,0
2013-03-31 - 2013-04-06,0
2013-04-07 - 2013-04-13,0
2013-04-14 - 2013-04-20,0
2013-04-21 - 2013-04-27,0
2013-04-28 - 2013-05-04,0
2013-05-05 - 2013-05-11,0
2013-05-12 - 2013-05-18,0
2013-05-19 - 2013-05-25,0
2013-05-26 - 2013-06-01,0
2013-06-02 - 2013-06-08,0
2013-06-09 - 2013-06-15,0
2013-06-16 - 2013-06-22,0
2013-06-23 - 2013-06-29,0
2013-06-30 - 2013-07-06,0
2013-07-07 - 2013-07-13,0
2013-07-14 - 2013-07-20,0
2013-07-21 - 2013-07-27,0
2013-07-28 - 2013-08-03,0
2013-08-04 - 2013-08-10,0
2013-08-11 - 2013-08-17,0
2013-08-18 - 2013-08-24,0
2013-08-25 - 2013-08-31,0
2013-09-01 - 2013-09-07,0
2013-09-08 - 2013-09-14,0
2013-09-15 - 2013-09-21,0
2013-09-22 - 2013-09-28,0
2013-09-29 - 2013-10-05,0
2013-10-06 - 2013-10-12,0
2013-10-13 - 2013-10-19,0
2013-10-20 - 2013-10-26,0
2013-10-27 - 2013-11-02,0
2013-11-03 - 2013-11-09,0
2013-11-10 - 2013-11-16,0
2013-11-17 - 2013-11-23,0
2013-11-24 - 2013-11-30,0
2013-12-01 - 2013-12-07,0
2013-12-08 - 2013-12-14,0
2013-12-15 - 2013-12-21,0
2013-12-22 - 2013-12-28,0
2013-12-29 - 2014-01-04,0
2014-01-05 - 2014-01-11,0
2014-01-12 - 2014-01-18,0
2014-01-19 - 2014-01-25,0
2014-01-26 - 2014-02-01,0
2014-02-02 - 2014-02-08,0
2014-02-09 - 2014-02-15,0
2014-02-16 - 2014-02-22,0
2014-02-23 - 2014-03-01,0
2014-03-02 - 2014-03-08,0
2014-03-09 - 2014-03-15,0
2014-03-16 - 2014-03-22,0
2014-03-23 - 2014-03-29,0
2014-03-30 - 2014-04-05,0
2014-04-06 - 2014-04-12,0
2014-04-13 - 2014-04-19,0
2014-04-20 - 2014-04-26,0
2014-04-27 - 2014-05-03,0
2014-05-04 - 2014-05-10,0
2014-05-11 - 2014-05-17,0
2014-05-18 - 2014-05-24,0
2014-05-25 - 2014-05-31,0
2014-06-01 - 2014-06-07,0
2014-06-08 - 2014-06-14,0
2014-06-15 - 2014-06-21,0
2014-06-22 - 2014-06-28,0
2014-06-29 - 2014-07-05,0
2014-07-06 - 2014-07-12,0
2014-07-13 - 2014-07-19,0
2014-07-20 - 2014-07-26,0
2014-07-27 - 2014-08-02,0
2014-08-03 - 2014-08-09,0
2014-08-10 - 2014-08-16,0
2014-08-17 - 2014-08-23,0
2014-08-24 - 2014-08-30,0
2014-08-31 - 2014-09-06,0
2014-09-07 - 2014-09-13,0
2014-09-14 - 2014-09-20,0
2014-09-21 - 2014-09-27,0
2014-09-28 - 2014-10-04,0
2014-10-05 - 2014-10-11,0
2014-10-12 - 2014-10-18,0
2014-10-19 - 2014-10-25,0
2014-10-26 - 2014-11-01,0
2014-11-02 - 2014-11-08,0
2014-11-09 - 2014-11-15,0
2014-11-16 - 2014-11-22,0
2014-11-23 - 2014-11-29,0
2014-11-30 - 2014-12-06,0
2014-12-07 - 2014-12-13,0
2014-12-14 - 2014-12-20,0
2014-12-21 - 2014-12-27,0
2014-12-28 - 2015-01-03,0
2015-01-04 - 2015-01-10,0
2015-01-11 - 2015-01-17,0
2015-01-18 - 2015-01-24,0
2015-01-25 - 2015-01-31,0
2015-02-01 - 2015-02-07,0
2015-02-08 - 2015-02-14,0
2015-02-15 - 2015-02-21,0
2015-02-22 - 2015-02-28,0
2015-03-01 - 2015-03-07,0
2015-03-08 - 2015-03-14,0
2015-03-15 - 2015-03-21,0
2015-03-22 - 2015-03-28,0
2015-03-29 - 2015-04-04,0
2015-04-05 - 2015-04-11,0
2015-04-12 - 2015-04-18,0
2015-04-19 - 2015-04-25,0
2015-04-26 - 2015-05-02,0
2015-05-03 - 2015-05-09,0
2015-05-10 - 2015-05-16,0
2015-05-17 - 2015-05-23,0
2015-05-24 - 2015-05-30,0
2015-05-31 - 2015-06-06,0
2015-06-07 - 2015-06-13,0
2015-06-14 - 2015-06-20,0
2015-06-21 - 2015-06-27,0
2015-06-28 - 2015-07-04,0
2015-07-05 - 2015-07-11,0
2015-07-12 - 2015-07-18,0
2015-07-19 - 2015-07-25,0
2015-07-26 - 2015-08-01,0
2015-08-02 - 2015-08-08,0
2015-08-09 - 2015-08-15,0
2015-08-16 - 2015-08-22,0
2015-08-23 - 2015-08-29,0
2015-08-30 - 2015-09-05,0









