"video_id","video_title","view_count","category","duration_in_seconds","upload_time","captured_time","avg_rate","max_rate","min_rate","num_raters","num_dislikes","num_likes","uploader_id","uploader_name","uploader_url","video_desp"
"-Edv8Onsrgg","Britney Spears - Hold It Against Me","83931400","Music","269","2011-02-17T21:25:20.000Z","01/18/13","4.322858","5.0","1.0","285494","48330","237164","ZijND2e2tPp2AQL8Go2YSg","BritneySpearsVEVO","https://gdata.youtube.com/feeds/api/users/BritneySpearsVEVO","Music video by Britney Spears performing Hold It Against Me. (C) 2011 JIVE Records, a unit of Sony Music Entertainment"
"-J7J_IWUhls","Paramore: The Only Exception [OFFICIAL VIDEO]","57769038","Music","268","2010-02-17T21:08:41.000Z","01/18/13","4.946277","5.0","1.0","247642","3326","244316","lVrJwcIy7saPcGc1nct80A","FueledByRamen","https://gdata.youtube.com/feeds/api/users/FueledByRamen","© WMG 2010. Paramore's music video for 'The Only Exception' from their album, brand new eyes - available now on Fueled By Ramen. Visit http://paramore.net for more!  LYRICS  When I was younger I saw my daddy cry And curse at the wind He broke his own heart and I watched As he tried to reassemble it  And my momma swore That she would never let herself forget And that was the day that I promised I'd never sing of love if it does not exist  But darling, You are the only exception You are the only exception You are the only exception You are the only exception  Maybe I know somewhere Deep in my soul That love never lasts And we've got to find other ways To make it alone Or keep a straight face And I've always lived like this Keeping a comfortable distance And up until now I've sworn to myself That I'm content with loneliness  Because none of it was ever worth the risk  Well you are the only exception You are the only exception You are the only exception You are the only exception You are the only exception  I've got a tight grip on reality But I can't let go of what's in front of me here I know you're leaving in the morning When you wake up Leave me with some kind of proof it's not a dream  You are the only exception You are the only exception You are the only exception You are the only exception  You are the only exception You are the only exception You are the only exception You are the only exception  And I'm on my way to believing Oh, and I'm on my way to believing"
"-jEDdFm3Nx0","Luke Bryan - I Don't Want This Night To End","12984877","Music","305","2011-11-08T08:00:00.000Z","01/18/13","4.9312334","5.0","1.0","52758","907","51851","teMJzhMoMh1-WN6d2u6NEg","LukeBryanVEVO","https://gdata.youtube.com/feeds/api/users/LukeBryanVEVO","Music video by Luke Bryan performing I Don't Want This Night To End. (P) (C) 2011 Capitol Records Nashville. All rights reserved. Unauthorized reproduction is a violation of applicable laws. Manufactured by Capitol Records Nashville, 3322 West End Avenue, 11th Floor, Nashville, TN 37203"
"-q0LE3gtUn8","Jerrod Niemann - Lover, Lover","6143035","Music","201","2010-05-05T18:31:15.000Z","01/18/13","4.948496","5.0","1.0","18717","241","18476","riKx0GtoHPDVw24mNzfHfg","JerrodNiemannVEVO","https://gdata.youtube.com/feeds/api/users/JerrodNiemannVEVO","Music video by Jerrod Niemann performing Lover, Lover. (C) 2010 Sony Music Entertainment"
"-R9GrGheMRw","Rodney Atkins - Take A Back Road (Official)","4007493","Music","214","2011-09-21T20:39:38.000Z","01/18/13","4.9511046","5.0","1.0","15298","187","15111","YLYe54eJvCjSfbH2fw7r3w","Rodney Atkins (Official)","https://gdata.youtube.com/feeds/api/users/RodneyAtkinsVideos","The official music video for the #1 Song  Take A Back Road .  TAKE A BACK ROAD In Stores October 4th. Pre-order now on iTunes: http://itunes.apple.com/us/preorder/take-a-back-road/id458679618"
"-zzP29emgpg","Drake - Take Care ft. Rihanna","63396567","Music","249","2012-04-23T16:07:14.000Z","01/18/13","4.851044","5.0","1.0","258144","9613","248531","QznUf1SjfDqx65hX3zRDiA","DrakeVEVO","https://gdata.youtube.com/feeds/api/users/DrakeVEVO","Music video by Drake performing Take Care. (C) 2012 Cash Money Records Inc."
"_Z5-P9v3F8w","Justin Bieber - Never Say Never ft. Jaden Smith","354783070","Music","230","2010-05-27T22:07:29.000Z","01/18/13","3.7654974","5.0","1.0","969132","299099","670033","Hkj014U2CQ2Nv0UZeYpE_A","JustinBieberVEVO","https://gdata.youtube.com/feeds/api/users/JustinBieberVEVO","Music video by Justin Bieber performing Never Say Never. (C) 2010 The Island Def Jam Music Group"
"0NKUpo_xKyQ","Ellie Goulding - Lights","38273868","Music","221","2011-01-20T17:52:20.000Z","01/18/13","4.9101114","5.0","1.0","237138","5329","231809","vu362oukLMN1miydXcLxGg","EllieGouldingVEVO","https://gdata.youtube.com/feeds/api/users/EllieGouldingVEVO","Buy tickets for Ellie Goulding's UK December tour here http://ell.li/vW8FZP  Music video by Ellie Goulding performing Lights. (C) 2011 Polydor Ltd. (UK)  Buy Now! http://smarturl.it/halcyon"
"0UjsXo9l6I8"," Empire State of Mind  Jay Z | Alicia Keys [OFFICIAL VIDEO]","157652865","Music","282","2009-10-30T21:54:52.000Z","01/18/13","4.8678474","5.0","1.0","394665","13039","381626","N-sc1xJr-QQNj_uNIM9wTA","jayz","https://gdata.youtube.com/feeds/api/users/jayz","Check out the OFFICIAL VIDEO for  Empire State of Mind  Jay Z | Alicia Keys!  Life+Times | Twitter: http://full.sc/REKTYT Life+Times | Facebook: http://full.sc/REKOV9 LifeandTimes.com http://full.sc/RWJL0a Itunes: http://full.sc/Tw0I0R"
"0V2VVEH6AX4","Drake - The Motto (Edited) ft. LIL WAYNE, Tyga","8374218","Music","243","2012-02-13T19:26:38.000Z","01/18/13","4.4653783","5.0","1.0","26284","3513","22771","QznUf1SjfDqx65hX3zRDiA","DrakeVEVO","https://gdata.youtube.com/feeds/api/users/DrakeVEVO","Music video by Drake performing The Motto. (C) 2011 Cash Money Records Inc."
